
# Surface 0 of 1 surfaces

# Curve title: ""2nm_small.xyz" u 1:2:3"

# IsoCurve 0, 200 points
# x y z type
 7.5781e-010  5.89606e-010 -6.69269e-011 i
 7.5781e-010  5.9471e-010 -5.41256e-011 i
 7.5781e-010  5.99813e-010 -7.81097e-011 i
 7.5781e-010  6.04917e-010 -6.60096e-011 i
 7.5781e-010  6.1002e-010 -5.06283e-011 i
 7.5781e-010  6.15124e-010 -7.02588e-011 i
 7.5781e-010  6.20227e-010 -6.31393e-011 i
 7.5781e-010  6.25331e-010 -4.61298e-011 i
 7.5781e-010  6.30434e-010 -6.10841e-011 i
 7.5781e-010  6.35537e-010 -5.83957e-011 i
 7.5781e-010  6.40641e-010 -4.09108e-011 i
 7.5781e-010  6.45744e-010 -5.13297e-011 i
 7.5781e-010  6.50848e-010 -5.22505e-011 i
 7.5781e-010  6.55951e-010 -3.53623e-011 i
 7.5781e-010  6.61055e-010 -4.18497e-011 i
 7.5781e-010  6.66158e-010 -4.50543e-011 i
 7.5781e-010  6.71262e-010 -2.97692e-011 i
 7.5781e-010  6.76365e-010 -3.3138e-011 i
 7.5781e-010  6.81469e-010 -3.74814e-011 i
 7.5781e-010  6.86572e-010 -2.448e-011 i
 7.5781e-010  6.91675e-010 -2.56814e-011 i
 7.5781e-010  6.96779e-010 -3.01082e-011 i
 7.5781e-010  7.01882e-010 -1.97481e-011 i
 7.5781e-010  7.06986e-010 -1.96907e-011 i
 7.5781e-010  7.12089e-010 -2.36672e-011 i
 7.5781e-010  7.17193e-010 -1.58505e-011 i
 7.5781e-010  7.22296e-010 -1.53246e-011 i
 7.5781e-010  7.274e-010 -1.87485e-011 i
 7.5781e-010  7.32503e-010 -1.29789e-011 i
 7.5781e-010  7.37607e-010 -1.25616e-011 i
 7.5781e-010  7.4271e-010 -1.58591e-011 i
 7.5781e-010  7.47813e-010 -1.13117e-011 i
 7.5781e-010  7.52917e-010 -1.13225e-011 i
 7.5781e-010  7.5802e-010 -1.52463e-011 i
 7.5781e-010  7.63124e-010 -1.09386e-011 i
 7.5781e-010  7.68227e-010 -1.14106e-011 i
 7.5781e-010  7.73331e-010 -1.68887e-011 i
 7.5781e-010  7.78434e-010 -1.19064e-011 i
 7.5781e-010  7.83538e-010 -1.25923e-011 i
 7.5781e-010  7.88641e-010 -2.04538e-011 i
 7.5781e-010  7.93745e-010 -1.41486e-011 i
 7.5781e-010  7.98848e-010 -1.45469e-011 i
 7.5781e-010  8.03951e-010 -2.53407e-011 i
 7.5781e-010  8.09055e-010 -1.75483e-011 i
 7.5781e-010  8.14158e-010 -1.69635e-011 i
 7.5781e-010  8.19262e-010 -3.08038e-011 i
 7.5781e-010  8.24365e-010 -2.18332e-011 i
 7.5781e-010  8.29469e-010 -1.94636e-011 i
 7.5781e-010  8.34572e-010 -3.59873e-011 i
 7.5781e-010  8.39676e-010 -2.67174e-011 i
 7.5781e-010  8.44779e-010 -2.17427e-011 i
 7.5781e-010  8.49883e-010 -4.01951e-011 i
 7.5781e-010  8.54986e-010 -3.17143e-011 i
 7.5781e-010  8.60089e-010 -2.34493e-011 i
 7.5781e-010  8.65193e-010 -4.2753e-011 i
 7.5781e-010  8.70296e-010 -3.64231e-011 i
 7.5781e-010  8.754e-010 -2.43758e-011 i
 7.5781e-010  8.80503e-010 -4.33978e-011 i
 7.5781e-010  8.85607e-010 -4.023e-011 i
 7.5781e-010  8.9071e-010 -2.42889e-011 i
 7.5781e-010  8.95814e-010 -4.18833e-011 i
 7.5781e-010  9.00917e-010 -4.27649e-011 i
 7.5781e-010  9.06021e-010 -2.31543e-011 i
 7.5781e-010  9.11124e-010 -3.84521e-011 i
 7.5781e-010  9.16227e-010 -4.34961e-011 i
 7.5781e-010  9.21331e-010 -2.09232e-011 i
 7.5781e-010  9.26434e-010 -3.32767e-011 i
 7.5781e-010  9.31538e-010 -4.23127e-011 i
 7.5781e-010  9.36641e-010 -1.77717e-011 i
 7.5781e-010  9.41745e-010 -2.69393e-011 i
 7.5781e-010  9.46848e-010 -3.90462e-011 i
 7.5781e-010  9.51952e-010 -1.38492e-011 i
 7.5781e-010  9.57055e-010 -1.98583e-011 i
 7.5781e-010  9.62159e-010 -3.40259e-011 i
 7.5781e-010  9.67262e-010 -9.51874e-012 i
 7.5781e-010  9.72365e-010 -1.27186e-011 i
 7.5781e-010  9.77469e-010 -2.76041e-011 i
 7.5781e-010  9.82572e-010 -5.0878e-012 i
 7.5781e-010  9.87676e-010 -5.99406e-012 i
 7.5781e-010  9.92779e-010 -2.04933e-011 i
 7.5781e-010  9.97883e-010 -1.04352e-012 i
 7.5781e-010  1.00299e-009 -3.25517e-013 i
 7.5781e-010  1.00809e-009 -1.33638e-011 i
 7.5781e-010  1.01319e-009  2.23122e-012 i
 7.5781e-010  1.0183e-009  3.8692e-012 i
 7.5781e-010  1.0234e-009 -6.9681e-012 i

# IsoCurve 1, 200 points
# x y z type
 7.54041e-010  7.8125e-012  7.46322e-011 i
 7.54041e-010  1.2916e-011  6.05691e-011 i
 7.54041e-010  1.80194e-011  5.67573e-011 i
 7.54041e-010  2.31229e-011  6.61944e-011 i
 7.54041e-010  2.82263e-011  5.39105e-011 i
 7.54041e-010  3.33298e-011  4.78746e-011 i
 7.54041e-010  3.84332e-011  5.52482e-011 i
 7.54041e-010  4.35367e-011  4.48081e-011 i
 7.54041e-010  4.86401e-011  3.76435e-011 i
 7.54041e-010  5.37436e-011  4.32927e-011 i
 7.54041e-010  5.8847e-011  3.47868e-011 i
 7.54041e-010  6.39505e-011  2.71368e-011 i
 7.54041e-010  6.9054e-011  3.12043e-011 i
 7.54041e-010  7.41574e-011  2.45853e-011 i
 7.54041e-010  7.92609e-011  1.69593e-011 i
 7.54041e-010  8.43643e-011  1.96665e-011 i
 7.54041e-010  8.94678e-011  1.47555e-011 i
 7.54041e-010  9.45712e-011  7.53941e-012 i
 7.54041e-010  9.96747e-011  9.19698e-012 i
 7.54041e-010  1.04778e-010  5.73276e-012 i
 7.54041e-010  1.09882e-010 -8.24207e-013 i
 7.54041e-010  1.14985e-010  1.3169e-013 i
 7.54041e-010  1.20089e-010 -2.12707e-012 i
 7.54041e-010  1.25192e-010 -7.90814e-012 i
 7.54041e-010  1.30295e-010 -7.30862e-012 i
 7.54041e-010  1.35399e-010 -8.60322e-012 i
 7.54041e-010  1.40502e-010 -1.35979e-011 i
 7.54041e-010  1.45606e-010 -1.30584e-011 i
 7.54041e-010  1.50709e-010 -1.35142e-011 i
 7.54041e-010  1.55813e-010 -1.78059e-011 i
 7.54041e-010  1.60916e-010 -1.70907e-011 i
 7.54041e-010  1.6602e-010 -1.67866e-011 i
 7.54041e-010  1.71123e-010 -2.05141e-011 i
 7.54041e-010  1.76227e-010 -1.94633e-011 i
 7.54041e-010  1.8133e-010 -1.83657e-011 i
 7.54041e-010  1.86433e-010 -2.17093e-011 i
 7.54041e-010  1.91537e-010 -2.02279e-011 i
 7.54041e-010  1.9664e-010 -1.82667e-011 i
 7.54041e-010  2.01744e-010 -2.14256e-011 i
 7.54041e-010  2.06847e-010 -1.94931e-011 i
 7.54041e-010  2.11951e-010 -1.65178e-011 i
 7.54041e-010  2.17054e-010 -1.96979e-011 i
 7.54041e-010  2.22158e-010 -1.73586e-011 i
 7.54041e-010  2.27261e-010 -1.32191e-011 i
 7.54041e-010  2.32365e-010 -1.66205e-011 i
 7.54041e-010  2.37468e-010 -1.40011e-011 i
 7.54041e-010  2.42571e-010 -8.51595e-012 i
 7.54041e-010  2.47675e-010 -1.23012e-011 i
 7.54041e-010  2.52778e-010 -9.60553e-012 i
 7.54041e-010  2.57882e-010 -2.66018e-012 i
 7.54041e-010  2.62985e-010 -6.94471e-012 i
 7.54041e-010  2.68089e-010 -4.46551e-012 i
 7.54041e-010  2.73192e-010  4.00435e-012 i
 7.54041e-010  2.78296e-010 -7.81126e-013 i
 7.54041e-010  2.83399e-010  1.11979e-012 i
 7.54041e-010  2.88503e-010  1.10256e-011 i
 7.54041e-010  2.93606e-010  5.82454e-012 i
 7.54041e-010  2.98709e-010  6.7357e-012 i
 7.54041e-010  3.03813e-010  1.78531e-011 i
 7.54041e-010  3.08916e-010  1.24981e-011 i
 7.54041e-010  3.1402e-010  1.20041e-011 i
 7.54041e-010  3.19123e-010  2.39158e-011 i
 7.54041e-010  3.24227e-010  1.87187e-011 i
 7.54041e-010  3.2933e-010  1.64623e-011 i
 7.54041e-010  3.34434e-010  2.86063e-011 i
 7.54041e-010  3.39537e-010  2.40207e-011 i
 7.54041e-010  3.44641e-010  1.97575e-011 i
 7.54041e-010  3.49744e-010  3.14564e-011 i
 7.54041e-010  3.54847e-010  2.78276e-011 i
 7.54041e-010  3.59951e-010  2.15061e-011 i
 7.54041e-010  3.65054e-010  3.20458e-011 i
 7.54041e-010  3.70158e-010  2.97224e-011 i
 7.54041e-010  3.75261e-010  2.15071e-011 i
 7.54041e-010  3.80365e-010  3.02356e-011 i
 7.54041e-010  3.85468e-010  2.92613e-011 i
 7.54041e-010  3.90572e-010  1.95802e-011 i
 7.54041e-010  3.95675e-010  2.59789e-011 i
 7.54041e-010  4.00779e-010  2.627e-011 i
 7.54041e-010  4.05882e-010  1.57661e-011 i
 7.54041e-010  4.10985e-010  1.95466e-011 i
 7.54041e-010  4.16089e-010  2.06498e-011 i
 7.54041e-010  4.21192e-010  1.01521e-011 i
 7.54041e-010  4.26296e-010  1.12783e-011 i
 7.54041e-010  4.31399e-010  1.26239e-011 i
 7.54041e-010  4.36503e-010  3.02909e-012 i
 7.54041e-010  4.41606e-010  1.74604e-012 i
 7.54041e-010  4.4671e-010  2.55842e-012 i
 7.54041e-010  4.51813e-010 -5.27031e-012 i
 7.54041e-010  4.56917e-010 -8.47428e-012 i
 7.54041e-010  4.6202e-010 -8.91684e-012 i
 7.54041e-010  4.67123e-010 -1.42823e-011 i
 7.54041e-010  4.72227e-010 -1.87313e-011 i
 7.54041e-010  4.7733e-010 -2.10541e-011 i
 7.54041e-010  4.82434e-010 -2.35273e-011 i
 7.54041e-010  4.87537e-010 -2.84319e-011 i
 7.54041e-010  4.92641e-010 -3.30121e-011 i
 7.54041e-010  4.97744e-010 -3.25021e-011 i
 7.54041e-010  5.02848e-010 -3.70625e-011 i
 7.54041e-010  5.07951e-010 -4.39563e-011 i
 7.54041e-010  5.13055e-010 -4.07141e-011 i
 7.54041e-010  5.18158e-010 -4.41938e-011 i
 7.54041e-010  5.23261e-010 -5.31603e-011 i
 7.54041e-010  5.28365e-010 -4.7761e-011 i
 7.54041e-010  5.33468e-010 -4.95778e-011 i
 7.54041e-010  5.38572e-010 -6.00664e-011 i
 7.54041e-010  5.43675e-010 -5.32625e-011 i
 7.54041e-010  5.48779e-010 -5.30325e-011 i
 7.54041e-010  5.53882e-010 -6.43346e-011 i
 7.54041e-010  5.58986e-010 -5.70175e-011 i
 7.54041e-010  5.64089e-010 -5.45898e-011 i
 7.54041e-010  5.69193e-010 -6.58947e-011 i
 7.54041e-010  5.74296e-010 -5.88402e-011 i
 7.54041e-010  5.79399e-010 -5.43026e-011 i
 7.54041e-010  5.84503e-010 -6.48601e-011 i
 7.54041e-010  5.89606e-010 -5.87716e-011 i
 7.54041e-010  5.9471e-010 -5.24145e-011 i
 7.54041e-010  5.99813e-010 -6.16004e-011 i
 7.54041e-010  6.04917e-010 -5.68485e-011 i
 7.54041e-010  6.1002e-010 -4.9141e-011 i
 7.54041e-010  6.15124e-010 -5.65402e-011 i
 7.54041e-010  6.20227e-010 -5.33364e-011 i
 7.54041e-010  6.25331e-010 -4.48393e-011 i
 7.54041e-010  6.30434e-010 -5.02691e-011 i
 7.54041e-010  6.35537e-010 -4.84776e-011 i
 7.54041e-010  6.40641e-010 -3.98022e-011 i
 7.54041e-010  6.45744e-010 -4.3302e-011 i
 7.54041e-010  6.50848e-010 -4.27e-011 i
 7.54041e-010  6.55951e-010 -3.44109e-011 i
 7.54041e-010  6.61055e-010 -3.62154e-011 i
 7.54041e-010  6.66158e-010 -3.63946e-011 i
 7.54041e-010  6.71262e-010 -2.89672e-011 i
 7.54041e-010  6.76365e-010 -2.94438e-011 i
 7.54041e-010  6.81469e-010 -3.00608e-011 i
 7.54041e-010  6.86572e-010 -2.38131e-011 i
 7.54041e-010  6.91675e-010 -2.34056e-011 i
 7.54041e-010  6.96779e-010 -2.41391e-011 i
 7.54041e-010  7.01882e-010 -1.9209e-011 i
 7.54041e-010  7.06986e-010 -1.83686e-011 i
 7.54041e-010  7.12089e-010 -1.9078e-011 i
 7.54041e-010  7.17193e-010 -1.54142e-011 i
 7.54041e-010  7.22296e-010 -1.45412e-011 i
 7.54041e-010  7.274e-010 -1.52272e-011 i
 7.54041e-010  7.32503e-010 -1.2605e-011 i
 7.54041e-010  7.37607e-010 -1.19992e-011 i
 7.54041e-010  7.4271e-010 -1.28434e-011 i
 7.54041e-010  7.47813e-010 -1.09205e-011 i
 7.54041e-010  7.52917e-010 -1.0744e-011 i
 7.54041e-010  7.5802e-010 -1.20357e-011 i
 7.54041e-010  7.63124e-010 -1.04081e-011 i
 7.54041e-010  7.68227e-010 -1.06661e-011 i
 7.54041e-010  7.73331e-010 -1.27581e-011 i
 7.54041e-010  7.78434e-010 -1.10525e-011 i
 7.54041e-010  7.83538e-010 -1.15915e-011 i
 7.54041e-010  7.88641e-010 -1.47996e-011 i
 7.54041e-010  7.93745e-010 -1.27315e-011 i
 7.54041e-010  7.98848e-010 -1.32558e-011 i
 7.54041e-010  8.03951e-010 -1.78014e-011 i
 7.54041e-010  8.09055e-010 -1.52595e-011 i
 7.54041e-010  8.14158e-010 -1.53692e-011 i
 7.54041e-010  8.19262e-010 -2.13017e-011 i
 7.54041e-010  8.24365e-010 -1.83353e-011 i
 7.54041e-010  8.29469e-010 -1.75778e-011 i
 7.54041e-010  8.34572e-010 -2.47646e-011 i
 7.54041e-010  8.39676e-010 -2.16355e-011 i
 7.54041e-010  8.44779e-010 -1.95658e-011 i
 7.54041e-010  8.49883e-010 -2.76848e-011 i
 7.54041e-010  8.54986e-010 -2.47338e-011 i
 7.54041e-010  8.60089e-010 -2.09874e-011 i
 7.54041e-010  8.65193e-010 -2.95747e-011 i
 7.54041e-010  8.70296e-010 -2.72679e-011 i
 7.54041e-010  8.754e-010 -2.16107e-011 i
 7.54041e-010  8.80503e-010 -3.01273e-011 i
 7.54041e-010  8.85607e-010 -2.88201e-011 i
 7.54041e-010  8.9071e-010 -2.12082e-011 i
 7.54041e-010  8.95814e-010 -2.9105e-011 i
 7.54041e-010  9.00917e-010 -2.91446e-011 i
 7.54041e-010  9.06021e-010 -1.97278e-011 i
 7.54041e-010  9.11124e-010 -2.65413e-011 i
 7.54041e-010  9.16227e-010 -2.80088e-011 i
 7.54041e-010  9.21331e-010 -1.71424e-011 i
 7.54041e-010  9.26434e-010 -2.25294e-011 i
 7.54041e-010  9.31538e-010 -2.54383e-011 i
 7.54041e-010  9.36641e-010 -1.36259e-011 i
 7.54041e-010  9.41745e-010 -1.74278e-011 i
 7.54041e-010  9.46848e-010 -2.15221e-011 i
 7.54041e-010  9.51952e-010 -9.36827e-012 i
 7.54041e-010  9.57055e-010 -1.1592e-011 i
 7.54041e-010  9.62159e-010 -1.66091e-011 i
 7.54041e-010  9.67262e-010 -4.74118e-012 i
 7.54041e-010  9.72365e-010 -5.5673e-012 i
 7.54041e-010  9.77469e-010 -1.11114e-011 i
 7.54041e-010  9.82572e-010 -1.01007e-013 i
 7.54041e-010  9.87676e-010  1.73793e-013 i
 7.54041e-010  9.92779e-010 -5.60692e-012 i
 7.54041e-010  9.97883e-010  4.05376e-012 i
 7.54041e-010  1.00299e-009  5.03548e-012 i
 7.54041e-010  1.00809e-009 -6.97711e-013 i
 7.54041e-010  1.01319e-009  7.26911e-012 i
 7.54041e-010  1.0183e-009  8.52862e-012 i
 7.54041e-010  1.0234e-009  2.89024e-012 i

# IsoCurve 2, 200 points
# x y z type
 7.50272e-010  7.8125e-012  5.98211e-011 i
 7.50272e-010  1.2916e-011  5.55368e-011 i
 7.50272e-010  1.80194e-011  5.29561e-011 i
 7.50272e-010  2.31229e-011  5.40644e-011 i
 7.50272e-010  2.82263e-011  4.89647e-011 i
 7.50272e-010  3.33298e-011  4.47311e-011 i
 7.50272e-010  3.84332e-011  4.45435e-011 i
 7.50272e-010  4.35367e-011  3.96873e-011 i
 7.50272e-010  4.86401e-011  3.48386e-011 i
 7.50272e-010  5.37436e-011  3.3891e-011 i
 7.50272e-010  5.8847e-011  2.95089e-011 i
 7.50272e-010  6.39505e-011  2.45074e-011 i
 7.50272e-010  6.9054e-011  2.30255e-011 i
 7.50272e-010  7.41574e-011  1.92068e-011 i
 7.50272e-010  7.92609e-011  1.43844e-011 i
 7.50272e-010  8.43643e-011  1.25539e-011 i
