n	ch1	ch2
4.43	0.01032	75.6
4.44	0.01064	75.2
4.45	0.01016	75.2
4.46	0.01008	75.2
4.47	0.00992	75.2
4.48	0.01104	75.2
4.49	0.01064	75.2
4.5	0.01024	75.2
4.51	0.01048	74.8
4.52	0.01064	75.2
4.53	0.01064	74.8
4.54	0.01104	75.2
4.55	0.01032	74.8
4.56	0.01032	75.2
4.57	0.01024	75.2
4.58	0.01056	74.8
4.59	0.01	75.2
4.6	0.0104	75.2
4.61	0.01024	74.8
4.62	0.01056	75.2
4.63	0.01032	75.2
4.64	0.0108	75.2
4.65	0.01032	75.2
4.66	0.01032	75.2
4.67	0.01032	74.8
4.68	0.01064	75.2
4.69	0.00992	75.2
4.7	0.00992	75.2
4.71	0.00992	75.2
4.72	0.01048	75.2
4.73	0.00968	75.2
4.74	0.00992	75.2
4.75	0.00992	74.8
4.76	0.01048	75.2
4.77	0.00976	74.8
4.78	0.01048	74.8
4.79	0.01024	75.2
4.8	0.0104	74.8
4.81	0.01048	74.8
4.82	0.0104	74.8
4.83	0.01048	74.8
4.84	0.01048	74.8
4.85	0.01072	74.8
4.86	0.01048	74.8
4.87	0.00992	75.2
4.88	0.01072	74.8
4.89	0.0104	74.8
4.9	0.0108	74.8
4.91	0.01	74.8
4.92	0.01104	75.2
4.93	0.01008	74.8
4.94	0.01088	74.8
4.95	0.00992	74.8
4.96	0.0104	74.8
4.97	0.0104	74.8
4.98	0.0104	74.8
4.99	0.01048	74.8
5	0.01064	74.8
5.01	0.01048	74.4
5.02	0.0104	74.4
5.03	0.01048	74.8
5.04	0.01048	74.4
5.05	0.01072	74.8
5.06	0.01048	74.4
5.07	0.00968	74.4
5.08	0.01088	74.8
5.09	0.0104	74.8
5.1	0.01072	74.4
5.11	0.0104	74.4
5.12	0.0108	74.8
5.13	0.01	74.8
5.14	0.01048	74.4
5.15	0.01032	74.4
5.16	0.01008	74
5.17	0.01024	74.8
5.18	0.01024	74.4
5.19	0.01024	74.4
5.2	0.01024	74.8
5.21	0.00984	74.4
5.22	0.01112	74.4
5.23	0.00984	74
5.24	0.0108	74
5.25	0.00992	74.4
5.26	0.01008	74.4
5.27	0.01024	74.4
5.28	0.0104	74.4
5.29	0.01032	74.4
5.3	0.0108	74
5.31	0.00976	74.4
5.32	0.0104	74
5.33	0.01024	74
5.34	0.01064	74
5.35	0.01016	74
5.36	0.00992	74
5.37	0.0104	74.4
5.38	0.01032	74
5.39	0.01048	74
5.4	0.0108	74.4
5.41	0.01048	74.4
5.42	0.0108	74
5.43	0.01056	74
5.44	0.01064	74
5.45	0.01016	74.4
5.46	0.0104	74
5.47	0.0104	74
5.48	0.01056	74
5.49	0.01048	74
5.5	0.01064	74
5.51	0.00992	74
5.52	0.01088	74
5.53	0.00992	74
5.54	0.01072	74
5.55	0.01024	74
5.56	0.01056	74
5.57	0.01032	74
5.58	0.01032	74
5.59	0.0104	73.6
5.6	0.01024	74
5.61	0.0104	74
5.62	0.01136	74
5.63	0.01032	73.6
5.64	0.01056	74
5.65	0.01008	73.6
5.66	0.01032	73.6
5.67	0.01024	74
5.68	0.01032	74
5.69	0.01072	74
5.7	0.0104	73.6
5.71	0.00992	73.6
5.72	0.01024	74
5.73	0.01048	74
5.74	0.01112	74
5.75	0.01	73.6
5.76	0.01096	74
5.77	0.01016	73.6
5.78	0.01048	73.6
5.79	0.0104	73.6
5.8	0.0108	73.6
5.81	0.0108	73.6
5.82	0.01048	73.6
5.83	0.01016	73.6
5.84	0.01072	73.6
5.85	0.01064	74
5.86	0.01104	73.6
5.87	0.0108	73.6
5.88	0.0108	73.6
5.89	0.01048	73.6
5.9	0.01032	73.6
5.91	0.01008	73.6
5.92	0.0108	73.6
5.93	0.0104	73.2
5.94	0.01064	73.6
5.95	0.01064	73.6
5.96	0.01024	73.6
5.97	0.01032	73.6
5.98	0.0108	73.6
5.99	0.0104	73.6
6	0.0108	73.6
6.01	0.0108	73.6
6.02	0.01024	73.2
6.03	0.01048	73.6
6.04	0.0108	73.6
6.05	0.0108	73.6
6.06	0.01088	73.6
6.07	0.01104	73.6
6.08	0.0104	73.6
6.09	0.01048	73.6
6.1	0.01064	73.6
6.11	0.01056	73.2
6.12	0.01104	73.6
6.13	0.01032	73.6
6.14	0.0112	73.6
6.15	0.01064	73.6
6.16	0.01096	73.2
6.17	0.01048	73.6
6.18	0.01048	73.6
6.19	0.01008	73.6
6.2	0.01056	73.6
6.21	0.01032	73.6
6.22	0.01056	73.6
6.23	0.0108	73.2
6.24	0.01072	73.2
6.25	0.01128	73.6
6.26	0.01136	73.6
6.27	0.01064	73.6
6.28	0.0108	73.6
6.29	0.01024	73.6
6.3	0.01048	73.2
6.31	0.01064	73.6
6.32	0.0104	73.6
6.33	0.01024	73.6
6.34	0.01064	73.6
6.35	0.01024	73.6
6.36	0.01088	73.6
6.37	0.0104	73.6
6.38	0.0108	73.2
6.39	0.01016	73.6
6.4	0.01064	73.6
6.41	0.01096	73.6
6.42	0.01048	73.2
6.43	0.0104	73.6
6.44	0.01088	73.6
6.45	0.01048	74
6.46	0.01072	73.6
6.47	0.01056	74
6.48	0.0112	73.6
6.49	0.01072	73.6
6.5	0.01032	73.2
6.51	0.01032	74
6.52	0.01048	73.6
6.53	0.0108	74
6.54	0.01056	73.2
6.55	0.01056	74.8
6.56	0.01048	74
6.57	0.01024	75.6
6.58	0.0104	74
6.59	0.0104	74.4
6.6	0.01048	74
6.61	0.01048	74.8
6.62	0.01048	73.6
6.63	0.00992	74
6.64	0.01024	74
6.65	0.01064	74
6.66	0.01016	74
6.67	0.01048	75.2
6.68	0.01064	74
6.69	0.01048	76
6.7	0.0108	74.4
6.71	0.01008	76.4
6.72	0.0108	74
6.73	0.01088	75.2
6.74	0.0108	75.2
6.75	0.01048	75.2
6.76	0.01064	74.4
6.77	0.01032	76.4
6.78	0.0108	75.2
6.79	0.0104	76.4
6.8	0.0108	76.8
6.81	0.00992	76.8
6.82	0.0108	74.8
6.83	0.01008	76.4
6.84	0.01048	76
6.85	0.01016	76.4
6.86	0.01072	76
6.87	0.01008	76.8
6.88	0.0112	76.8
6.89	0.01	76.4
6.9	0.01048	76.8
6.91	0.01024	76.8
6.92	0.01056	76
6.93	0.00952	75.6
6.94	0.00992	76.8
6.95	0.00992	76.4
6.96	0.01048	76.8
6.97	0.00952	76
6.98	0.0096	76.8
6.99	0.00992	76
7	0.01008	76
7.01	0.0096	76.4
7.02	0.01056	76.4
7.03	0.00992	74.8
7.04	0.0104	74.4
7.05	0.00992	75.6
7.06	0.00992	75.2
7.07	0.00992	74.8
7.08	0.01048	75.6
7.09	0.01	74.8
7.1	0.01048	75.6
7.11	0.01072	75.2
7.12	0.00992	75.2
7.13	0.01	74.8
7.14	0.01024	74.4
7.15	0.01048	74.8
7.16	0.01024	74.8
7.17	0.0108	74.4
7.18	0.01064	74.4
7.19	0.00992	74.4
7.2	0.01072	74.4
7.21	0.01064	74.4
7.22	0.0108	74.8
7.23	0.01048	75.2
7.24	0.01096	75.2
7.25	0.01016	74.8
7.26	0.0108	75.2
7.27	0.01048	74.8
7.28	0.01064	75.6
7.29	0.01024	74.8
7.3	0.01072	75.2
7.31	0.01072	74.8
7.32	0.01096	76
7.33	0.0104	75.2
7.34	0.01096	74.8
7.35	0.01032	75.2
7.36	0.01048	75.6
7.37	0.01072	76
7.38	0.01096	75.6
7.39	0.01064	76
7.4	0.01048	77.6
7.41	0.0108	75.2
7.42	0.01048	76.8
7.43	0.01008	76.4
7.44	0.00992	77.2
7.45	0.01072	76
7.46	0.0108	76.8
7.47	0.01016	76.8
7.48	0.00992	77.6
7.49	0.01024	77.6
7.5	0.01	77.2
7.51	0.01	77.2
7.52	0.01024	77.2
7.53	0.00992	77.6
7.54	0.00992	77.6
7.55	0.01032	77.2
7.56	0.00984	77.2
7.57	0.01	77.6
7.58	0.00976	76
7.59	0.00984	77.2
7.6	0.00992	77.2
7.61	0.00992	77.6
7.62	0.00936	76.8
7.63	0.0096	77.2
7.64	0.0104	76.8
7.65	0.00992	77.2
7.66	0.00992	74.4
7.67	0.00992	76.4
7.68	0.00992	74
7.69	0.01024	75.2
7.7	0.00992	75.2
7.71	0.00992	76.8
7.72	0.01008	75.2
7.73	0.00952	76.4
7.74	0.00968	75.6
7.75	0.00944	74.8
7.76	0.01032	73.2
7.77	0.00992	73.6
7.78	0.01064	72.8
7.79	0.00992	73.2
7.8	0.01064	73.2
7.81	0.01	74.4
7.82	0.01104	72.8
7.83	0.00992	74.8
7.84	0.01016	74
7.85	0.01016	73.6
7.86	0.01104	72.4
7.87	0.01072	72.8
7.88	0.0108	72.4
7.89	0.01096	72.4
7.9	0.0108	72.8
7.91	0.01048	72.4
7.92	0.01064	72.4
7.93	0.01008	73.2
7.94	0.01	72.8
7.95	0.0108	72.4
7.96	0.0112	71.6
7.97	0.01064	72.4
7.98	0.01048	71.6
7.99	0.01056	72
8	0.01128	71.6
8.01	0.01072	71.6
8.02	0.01088	72
8.03	0.01096	72
8.04	0.01096	72
8.05	0.01048	71.2
8.06	0.01136	71.6
8.07	0.01112	71.6
8.08	0.0112	71.2
8.09	0.01048	71.6
8.1	0.01136	71.6
8.11	0.01024	71.6
8.12	0.01152	71.2
8.13	0.0108	71.6
8.14	0.01072	71.6
8.15	0.01064	71.2
8.16	0.01144	71.2
8.17	0.01096	71.2
8.18	0.01152	71.2
8.19	0.01088	71.2
8.2	0.01144	71.2
8.21	0.01096	70.8
8.22	0.0108	70.8
8.23	0.01048	71.2
8.24	0.01152	71.2
8.25	0.01072	70.8
8.26	0.01128	70.8
8.27	0.0108	70.8
8.28	0.01088	71.2
8.29	0.0108	71.2
8.3	0.01104	71.2
8.31	0.0112	71.2
8.32	0.01088	71.2
8.33	0.01136	71.2
8.34	0.01088	70.8
8.35	0.01104	71.2
8.36	0.01112	71.2
8.37	0.01104	71.2
8.38	0.01096	70.8
8.39	0.01072	71.6
8.4	0.01112	72
8.41	0.01064	72.8
8.42	0.01088	71.2
8.43	0.01104	72
8.44	0.01104	72
8.45	0.01088	72
8.46	0.0108	71.6
8.47	0.01072	71.6
8.48	0.01096	71.6
8.49	0.01048	72.8
8.5	0.0108	72.8
8.51	0.01064	72.8
8.52	0.01104	72.4
8.53	0.01024	73.2
8.54	0.0108	72.8
8.55	0.01104	72.8
8.56	0.01104	72
8.57	0.01064	72.8
8.58	0.01104	73.2
8.59	0.01064	73.2
8.6	0.01088	73.2
8.61	0.01048	72.8
8.62	0.01048	73.2
8.63	0.01088	73.2
8.64	0.01072	73.2
8.65	0.01064	72.8
8.66	0.01024	73.2
8.67	0.01072	72.8
8.68	0.01096	73.2
8.69	0.01064	72.4
8.7	0.0108	72.8
8.71	0.01088	72.8
8.72	0.01032	73.2
8.73	0.01016	72.4
8.74	0.01112	72.4
8.75	0.01048	72.8
8.76	0.01048	72.8
8.77	0.0108	72
8.78	0.01056	72
8.79	0.01072	72
8.8	0.01064	72.4
8.81	0.01104	72
8.82	0.01072	72.4
8.83	0.0112	72
8.84	0.01096	72
8.85	0.01096	72
8.86	0.01096	71.6
8.87	0.01064	71.6
8.88	0.01104	72
8.89	0.0108	72
8.9	0.01104	71.6
8.91	0.01104	72
8.92	0.01096	71.6
8.93	0.0112	72
8.94	0.01136	71.6
8.95	0.01032	72
8.96	0.01104	71.6
8.97	0.0112	72
8.98	0.0116	71.6
8.99	0.01072	71.6
9	0.01104	71.6
9.01	0.01104	71.6
9.02	0.0108	71.6
9.03	0.0108	72
9.04	0.01112	71.6
9.05	0.01136	71.6
9.06	0.0108	71.6
9.07	0.01056	72
9.08	0.01104	72
9.09	0.01048	72
9.1	0.01096	72
9.11	0.01096	71.6
9.12	0.01136	71.6
9.13	0.0108	72
9.14	0.0108	71.6
9.15	0.01096	72
9.16	0.0108	71.6
9.17	0.01088	72
9.18	0.01088	72
9.19	0.01096	72
9.2	0.0112	72
9.21	0.01024	72
9.22	0.0108	72
9.23	0.01088	72
9.24	0.01064	72
9.25	0.01048	72
9.26	0.01104	72
9.27	0.01024	72
9.28	0.01128	72.4
9.29	0.01096	72
9.3	0.01064	72
9.31	0.0108	72.4
9.32	0.01064	72.4
9.33	0.0108	72.4
9.34	0.01104	72
9.35	0.01048	72.4
9.36	0.01	72.4
9.37	0.0108	72.4
9.38	0.01048	72.4
9.39	0.01024	72.4
9.4	0.01056	72.4
9.41	0.0108	72.4
9.42	0.0108	72.8
9.43	0.0108	72.8
9.44	0.01096	72.4
9.45	0.01072	72.4
9.46	0.01088	72.8
9.47	0.01048	72.4
9.48	0.01024	72.8
9.49	0.01104	72.8
9.5	0.01048	72.4
9.51	0.01072	72.8
9.52	0.01104	72.8
9.53	0.01016	72.8
9.54	0.01048	72.8
9.55	0.0104	72.8
9.56	0.0104	72.8
9.57	0.0108	72.8
9.58	0.01024	73.2
9.59	0.01064	72.8
9.6	0.01064	72.8
9.61	0.01032	72.8
9.62	0.0108	73.2
9.63	0.01056	72.8
9.64	0.01072	72.8
9.65	0.01048	73.6
9.66	0.01104	73.6
9.67	0.01048	73.2
9.68	0.0108	73.2
9.69	0.01048	72.8
9.7	0.0108	73.2
9.71	0.0104	72.8
9.72	0.01112	73.2
9.73	0.01048	72.8
9.74	0.01104	73.2
9.75	0.01024	74
9.76	0.01104	73.6
9.77	0.01008	72.8
9.78	0.01072	73.6
9.79	0.01088	73.6
9.8	0.01104	73.6
9.81	0.01056	73.6
9.82	0.01048	74
9.83	0.0104	73.6
9.84	0.01064	74
9.85	0.01032	73.6
9.86	0.0108	74
9.87	0.01104	73.6
9.88	0.01032	74
9.89	0.0104	74
9.9	0.01104	74
9.91	0.01064	74
9.92	0.0108	74
9.93	0.01056	73.6
9.94	0.01056	74.8
9.95	0.01024	74
9.96	0.01024	74.4
9.97	0.01024	74
9.98	0.01072	74.8
9.99	0.01056	74
10	0.01104	74.4
10.01	0.01048	74
10.02	0.0104	74
10.03	0.01032	74.4
10.04	0.0108	74.8
10.05	0.01008	74.4
10.06	0.01016	74.4
10.07	0.01056	74.8
10.08	0.01016	75.2
10.09	0.01032	74.8
10.1	0.01048	75.2
10.11	0.00992	74.8
10.12	0.01008	75.2
10.13	0.01048	74.4
10.14	0.01064	75.2
10.15	0.0108	74.8
10.16	0.01024	75.2
10.17	0.01016	75.2
10.18	0.0104	75.6
10.19	0.00976	75.2
10.2	0.0104	75.6
10.21	0.00976	75.2
10.22	0.00968	75.2
10.23	0.00992	75.2
10.24	0.00984	76
10.25	0.01024	75.2
10.26	0.01016	75.6
10.27	0.01	75.6
10.28	0.01048	75.6
10.29	0.01024	75.6
10.3	0.01024	76
10.31	0.00992	76
10.32	0.01024	75.6
10.33	0.00976	76
10.34	0.0104	76.4
10.35	0.00976	76
10.36	0.01032	76.4
10.37	0.01032	76
10.38	0.01008	76.4
10.39	0.0104	76.4
10.4	0.00992	76.8
10.41	0.00984	76.4
10.42	0.00992	76.4
10.43	0.00992	76.8
10.44	0.00992	76.4
10.45	0.01016	76.4
10.46	0.01064	76.4
10.47	0.01008	76.4
10.48	0.01056	77.2
10.49	0.01048	76.8
10.5	0.00984	77.2
10.51	0.00968	76.8
10.52	0.00992	77.6
10.53	0.00984	77.2
10.54	0.00976	77.2
10.55	0.00968	77.2
10.56	0.01048	77.6
10.57	0.00936	77.2
10.58	0.01	77.2
10.59	0.0104	77.6
10.6	0.01024	77.6
10.61	0.01024	77.6
10.62	0.01072	78
10.63	0.00968	78
10.64	0.01024	78
10.65	0.01024	78
10.66	0.01	77.6
10.67	0.01	78.4
10.68	0.00984	78
10.69	0.00992	78.4
10.7	0.01048	78.4
10.71	0.01016	78.4
10.72	0.01016	78
10.73	0.00976	78.4
10.74	0.01024	78
10.75	0.01	78.4
10.76	0.01008	78.4
10.77	0.00984	78.4
10.78	0.01016	78
10.79	0.00992	78.8
10.8	0.01024	78.8
10.81	0.0096	78.8
10.82	0.00992	78.8
10.83	0.00992	79.6
10.84	0.00984	79.2
10.85	0.01	79.6
10.86	0.01016	79.2
10.87	0.00992	79.2
10.88	0.00992	78.8
10.89	0.01008	79.2
10.9	0.01024	78.8
10.91	0.00992	79.6
10.92	0.00952	79.6
10.93	0.00992	80.4
10.94	0.00976	79.2
10.95	0.01016	80
10.96	0.01016	80.4
10.97	0.00968	80.4
10.98	0.00968	79.6
10.99	0.00952	80.4
11	0.00968	80
11.01	0.00968	80
11.02	0.01032	80
11.03	0.00976	80
11.04	0.00936	80
11.05	0.00992	80.4
11.06	0.00992	80.4
11.07	0.01016	80.4
11.08	0.00992	80.4
11.09	0.00992	81.2
11.1	0.00984	80.4
11.11	0.00992	80.8
11.12	0.00992	80.8
11.13	0.0096	81.2
11.14	0.00984	80.4
11.15	0.00912	81.2
11.16	0.00952	80.8
11.17	0.00992	81.2
11.18	0.00976	80.4
11.19	0.01008	81.2
11.2	0.00976	81.2
11.21	0.00976	81.6
11.22	0.00976	81.2
