n	t	angle	dangle	count	dcount	cos^2	dcos^2
0	1126731	0	7.5	6694	81.81686868	1	0
1	1126731	15	7.5	8357	91.41662868	0.933012702	0.065449847
2	1126731	30	7.5	7928	89.03931716	0.75	0.11336246
3	1126731	45	7.5	4444	66.66333325	0.5	0.130899694
4	1126731	60	7.5	1588	39.84971769	0.25	0.11336246
5	1126731	75	7.5	345	18.57417562	0.066987298	0.065449847
6	1126731	90	7.5	6	2.449489743	3.75247E-33	1.60372E-17
7	1126731	-75	7.5	582	24.12467616	0.066987298	-0.065449847
8	1126731	-60	7.5	2379	48.77499359	0.25	-0.11336246
9	1126731	-45	7.5	37	6.08276253	0.5	-0.130899694
10	1126731	-30	7.5	7302	85.45174077	0.75	-0.11336246
11	1126731	-15	7.5	5491	74.10128204	0.933012702	-0.065449847
