U_0=(-0.06 +- 0.01)V
U_geg/V    DU_geg/V   U/V          DU/V
0.001      0.001      8.5          0.5
0.121      0.001      5.7          0.1
0.226      0.001      3.9          0.1
0.315      0.001      2.4          0.1
0.418      0.001      1.2          0.1
0.517      0.001      0.37         0.01
0.619      0.001      0.03         0.01
0.717      0.001      -0.03        0.01
0.811      0.001      -0.05        0.01
1.032      0.001      -0.06        0.01
1.323      0.001      -0.06        0.01
