U_0=(-0.13 +- 0.01)V
U_geg/V    DU_geg/V   U/V	   DU/V
0          0.001      10           0.5
0.508      0.001      2.7          0.2
0.610      0.001      1.6          0.1
0.676      0.001      1.3          0.1
0.737      0.001      1.1          0.1
0.809      0.001      0.7          0.1
0.860      0.001      0.5          0.05
0.974      0.001      0.2          0.01
1.103      0.001      -0.002       0.001
1.205      0.001      -0.09        0.01
1.320      0.001      -0.13        0.01
