U_B / V	U_A / V
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.30	-0.06
0.15	-0.07
0.15	-0.06
0.15	-0.07
0.30	-0.06
0.45	-0.07
0.60	-0.06
0.75	-0.07
0.90	-0.06
1.05	-0.07
1.20	-0.07
1.35	-0.07
1.50	-0.07
1.65	-0.07
1.80	-0.06
1.95	-0.07
1.95	-0.07
2.25	-0.07
2.40	-0.07
2.55	-0.07
2.70	-0.07
2.85	-0.07
3.00	-0.07
3.15	-0.06
3.15	-0.07
3.45	-0.06
3.45	-0.07
3.75	-0.06
3.90	-0.06
3.90	-0.06
4.05	-0.06
4.20	-0.05
4.35	-0.06
4.50	-0.05
4.65	-0.05
4.80	-0.04
4.95	-0.04
5.10	-0.03
5.25	-0.03
5.40	-0.02
5.55	-0.02
5.70	-0.01
5.70	0.00
5.85	0.01
6.00	0.01
6.30	0.02
6.30	0.03
6.60	0.04
6.60	0.05
6.75	0.06
6.90	0.06
7.05	0.06
7.20	0.07
7.35	0.07
7.65	0.08
7.65	0.08
7.80	0.09
7.95	0.09
8.10	0.09
8.25	0.09
8.40	0.10
8.55	0.10
8.70	0.11
8.85	0.11
9.00	0.12
9.15	0.12
9.15	0.13
9.45	0.14
9.60	0.15
9.75	0.15
9.75	0.17
9.90	0.18
10.05	0.21
10.20	0.22
10.50	0.26
10.65	0.28
10.80	
10.80	0.36
10.95	0.40
11.25	0.43
11.25	0.45
11.55	0.47
11.55	0.47
11.70	0.48
12.00	0.48
12.00	0.47
12.15	0.48
12.30	0.46
12.45	0.45
12.60	0.44
12.75	0.43
12.90	0.43
13.05	0.41
13.20	0.41
13.35	0.41
13.50	0.40
13.65	0.40
13.65	0.40
13.95	0.42
14.10	0.43
14.25	0.45
14.25	0.47
14.55	0.50
14.55	0.55
14.70	0.59
14.85	0.65
15.00	0.71
15.15	0.78
15.30	0.87
15.45	0.96
15.60	
15.75	1.17
15.90	1.28
16.05	1.36
16.05	1.39
16.35	1.40
16.50	1.37
16.50	1.35
16.65	1.30
16.95	1.25
17.10	1.18
17.10	1.13
17.40	1.06
17.55	1.01
17.70	0.96
17.70	0.90
17.85	0.87
18.15	0.84
18.15	0.81
18.30	0.81
18.45	0.81
18.75	0.82
18.75	0.84
18.90	0.87
19.05	0.92
19.20	0.98
19.35	1.07
19.35	1.17
19.65	1.28
19.80	1.42
19.95	1.55
20.10	1.74
20.25	1.95
20.40	2.14
20.40	2.38
20.55	2.56
20.85	2.74
21.00	2.88
21.15	2.92
21.15	2.90
21.30	2.82
21.75	2.70
21.60	2.57
21.75	2.40
21.90	2.22
22.05	2.06
22.20	1.90
22.35	1.77
22.50	1.65
22.50	1.54
22.80	1.46
22.95	1.39
23.10	1.37
23.25	1.34
23.40	1.34
23.40	1.37
23.70	1.43
23.85	1.49
24.00	1.60
24.15	1.71
24.15	1.88
24.45	2.06
24.45	2.25
24.60	2.49
24.90	2.75
25.05	
25.05	3.34
25.20	3.77
25.35	4.18
25.50	4.47
25.65	4.80
25.80	4.97
25.95	5.06
26.10	4.99
26.25	4.87
26.40	4.68
26.55	4.48
26.70	4.17
26.85	3.84
27.00	3.56
27.15	3.24
27.30	3.00
27.45	2.74
27.45	2.56
27.75	2.37
27.90	2.24
28.05	2.17
28.20	2.12
28.20	2.11
28.50	2.15
28.50	2.23
28.80	2.33
28.95	2.49
28.95	2.66
29.25	2.91
29.25	3.16
29.55	3.50
29.55	3.91
29.70	4.26
29.85	4.73
29.85	5.08
30.00	5.10
30.00	5.09
29.85	5.09
30.00	5.08
29.85	5.07
30.00	5.07
30.00	5.07
30.00	5.07
30.00	5.06
29.85	5.06
30.00	5.05
30.00	5.06
30.00	5.05
29.85	5.05
30.00	5.04
30.15	5.03
30.00	5.04
29.85	5.04
30.00	5.03
30.00	5.03
30.00	5.03
30.00	5.02
29.85	5.01
29.85	5.01
30.00	5.02
30.00	5.02
30.00	5.02
29.85	5.02
29.85	5.01
