U_B / V	U_A / V
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.02
0.30	-0.08
0.45	-0.07
0.45	-0.07
0.75	-0.07
0.75	-0.07
0.90	-0.07
1.20	-0.07
1.20	-0.07
1.35	-0.07
1.50	-0.07
1.65	-0.07
1.95	-0.07
1.95	-0.07
2.10	-0.07
2.25	-0.07
2.40	-0.07
2.55	-0.07
2.70	-0.07
2.85	-0.07
3.00	-0.07
3.15	-0.07
3.45	-0.07
3.30	-0.07
3.60	-0.07
3.60	-0.07
3.90	-0.07
3.90	-0.07
4.05	-0.07
4.20	-0.07
4.35	-0.07
4.50	-0.07
4.65	-0.07
4.80	-0.07
4.95	-0.07
5.40	-0.07
5.25	-0.07
5.40	-0.07
5.55	-0.07
5.70	-0.07
5.85	-0.07
5.85	-0.07
6.15	-0.07
6.30	-0.07
6.45	-0.07
6.45	-0.07
6.75	-0.07
6.75	-0.06
6.90	-0.07
7.05	-0.07
7.20	-0.07
7.50	-0.06
7.50	-0.07
7.65	-0.06
7.80	-0.06
7.95	-0.06
8.10	-0.06
8.25	-0.06
8.25	-0.06
8.55	-0.06
8.70	-0.06
8.85	-0.06
9.00	-0.06
9.15	-0.06
9.30	-0.06
9.45	-0.06
9.60	-0.06
10.35	-0.06
9.90	-0.06
9.90	-0.06
10.20	-0.06
10.35	-0.07
10.50	-0.06
10.50	-0.06
10.65	-0.06
10.80	-0.06
10.95	-0.06
11.10	-0.06
11.25	-0.05
11.40	-0.06
11.55	-0.05
11.85	-0.05
12.00	-0.05
12.00	-0.05
12.30	-0.05
12.30	-0.05
12.45	-0.05
12.60	-0.05
12.75	-0.05
12.90	-0.05
13.35	-0.05
13.20	-0.06
13.35	-0.05
13.50	-0.06
13.65	-0.05
13.65	-0.06
13.95	-0.05
14.10	-0.05
14.10	-0.05
14.70	-0.06
14.40	-0.05
14.70	-0.06
14.85	-0.05
15.00	-0.06
15.00	-0.06
15.15	-0.06
15.30	-0.06
15.45	-0.06
15.60	-0.05
15.75	-0.05
15.90	-0.04
15.90	-0.03
16.20	-0.03
16.65	-0.02
16.50	-0.02
16.65	-0.01
16.65	-0.01
16.80	-0.01
16.95	-0.01
17.25	-0.02
17.25	-0.02
17.55	-0.02
17.70	-0.02
17.70	-0.02
17.85	-0.03
18.00	-0.03
18.15	-0.03
18.30	-0.03
18.60	-0.04
18.75	-0.04
18.75	-0.04
18.90	-0.04
19.05	-0.05
19.20	-0.05
19.35	-0.05
19.50	-0.05
19.50	-0.06
19.95	-0.05
20.40	-0.06
20.25	-0.05
20.25	-0.06
20.40	-0.05
20.40	-0.04
20.70	-0.02
20.85	-0.01
20.85	0.02
21.00	0.03
21.00	0.05
21.45	0.06
21.60	0.07
21.75	0.07
21.75	0.07
22.05	0.06
22.20	0.06
22.35	0.05
22.35	0.04
22.50	0.03
22.65	0.03
22.80	0.02
22.95	0.01
23.10	0.00
23.25	0.00
23.40	-0.01
23.70	-0.02
23.70	-0.02
23.85	-0.03
24.30	-0.03
24.15	-0.04
24.30	-0.04
24.45	-0.05
24.60	-0.05
24.75	-0.05
24.90	-0.05
25.05	-0.05
25.05	-0.04
25.35	-0.03
25.35	-0.01
25.65	0.01
25.65	0.05
25.80	0.08
26.10	0.12
25.95	0.15
26.25	0.17
26.40	0.18
26.55	0.19
26.70	0.19
26.85	0.19
27.00	0.18
27.15	0.17
27.30	0.15
27.45	0.13
27.60	0.12
27.75	0.10
27.90	0.09
28.05	0.07
28.20	0.05
28.20	0.04
28.35	0.03
28.65	0.01
28.65	0.00
28.80	-0.01
29.10	-0.01
29.10	-0.02
29.25	-0.03
29.40	-0.03
29.55	-0.04
29.70	-0.04
29.85	-0.03
29.85	-0.03
30.00	-0.03
