U_B / V	U_A / V
0.00	-0.08
0.15	-0.07
0.15	-0.08
0.15	-0.07
0.00	-0.08
0.15	-0.07
0.15	-0.08
0.30	-0.07
0.45	-0.08
0.60	-0.07
0.75	-0.08
0.90	-0.07
1.05	-0.07
1.20	-0.07
1.35	-0.07
1.50	-0.07
1.65	-0.08
1.65	-0.07
1.80	-0.08
2.10	-0.07
2.25	-0.08
2.40	-0.07
2.40	-0.08
2.55	-0.07
2.70	-0.07
3.15	-0.07
3.00	-0.08
3.15	-0.07
3.30	-0.08
3.45	-0.07
3.60	-0.08
3.75	-0.07
3.90	-0.08
4.05	-0.07
4.20	-0.08
4.35	-0.07
4.50	-0.08
4.65	-0.07
4.65	-0.07
4.95	-0.07
4.95	-0.07
5.25	-0.07
5.25	-0.07
5.55	-0.08
5.55	-0.07
5.85	-0.08
6.00	-0.07
6.15	-0.08
6.30	-0.07
6.30	-0.08
6.45	-0.07
6.60	-0.08
6.75	-0.07
6.90	-0.08
7.05	-0.07
7.20	-0.08
7.35	-0.07
7.50	-0.07
7.65	-0.07
7.95	-0.07
7.95	-0.07
8.10	-0.08
8.25	-0.07
8.40	-0.07
8.55	-0.07
8.70	-0.07
8.85	-0.07
9.00	-0.07
9.15	-0.07
9.15	-0.07
9.45	-0.07
9.60	-0.07
9.60	-0.07
9.90	-0.07
10.05	-0.07
10.05	-0.07
10.20	-0.07
10.35	-0.07
10.65	-0.07
10.65	-0.07
10.80	-0.07
10.95	-0.07
11.10	-0.07
11.25	-0.07
11.40	-0.07
11.55	-0.07
11.70	-0.07
11.85	-0.07
11.85	-0.07
12.15	-0.07
12.45	-0.07
12.45	-0.07
12.60	-0.07
12.90	-0.07
12.75	-0.07
12.90	-0.07
13.20	-0.07
13.35	-0.07
13.50	-0.07
13.65	-0.07
13.80	-0.07
13.80	-0.07
13.95	-0.07
14.10	-0.07
14.25	-0.07
14.40	-0.07
14.55	-0.07
14.70	-0.07
14.85	-0.07
15.00	-0.07
15.15	-0.07
15.30	-0.07
15.45	-0.07
15.60	-0.07
15.60	-0.07
15.90	-0.07
16.05	-0.07
16.20	-0.07
16.20	-0.07
16.35	-0.06
16.50	-0.07
16.80	-0.06
16.95	-0.07
16.95	-0.07
17.25	-0.07
17.25	-0.07
17.40	-0.07
17.55	-0.07
17.70	-0.06
17.85	-0.07
18.00	-0.06
18.30	-0.07
18.30	-0.06
18.45	-0.07
18.60	-0.06
18.75	-0.07
18.90	-0.07
19.05	-0.07
19.20	-0.06
19.35	-0.07
19.50	-0.06
19.50	-0.07
19.80	-0.07
19.80	-0.07
20.10	-0.07
20.25	-0.07
20.25	-0.07
20.40	-0.07
20.55	-0.07
20.85	-0.07
21.00	-0.06
21.00	-0.06
21.15	-0.06
21.30	-0.06
21.45	-0.05
21.60	-0.06
21.75	-0.05
22.05	-0.06
22.05	-0.05
22.20	-0.05
22.35	-0.05
22.50	-0.06
22.65	-0.05
22.95	-0.06
22.80	-0.05
23.10	-0.06
23.25	-0.06
23.40	-0.06
23.55	-0.06
23.70	-0.06
23.70	-0.06
23.85	-0.06
24.15	-0.06
24.15	-0.07
24.45	-0.07
24.45	-0.07
24.60	-0.07
24.75	-0.07
24.90	-0.07
25.20	-0.07
25.20	-0.07
25.35	-0.07
25.50	-0.06
25.80	-0.06
25.80	-0.06
25.95	-0.05
26.10	-0.05
26.25	-0.04
26.40	-0.04
26.55	-0.04
26.70	-0.04
26.85	-0.03
27.15	-0.04
27.15	-0.04
27.15	-0.04
27.30	-0.04
27.60	-0.04
27.75	-0.04
27.90	-0.05
28.05	-0.05
28.05	-0.05
28.20	-0.05
28.65	-0.05
28.65	-0.05
28.80	-0.05
28.95	-0.05
28.95	-0.06
29.10	-0.06
29.40	-0.06
29.40	-0.06
29.55	-0.07
29.70	-0.06
29.85	-0.07
30.00	-0.06
30.00	-0.07
30.00	-0.06
30.00	-0.06
30.00	-0.07
30.00	-0.06
30.00	-0.06
30.00	-0.06
29.85	-0.07
30.00	-0.06
30.00	-0.07
30.00	-0.06
30.00	-0.07
29.85	-0.06
30.00	-0.07
30.00	-0.06
30.00	-0.07
0.00	-0.11
0.15	-0.07
0.30	-0.07
0.45	-0.08
0.60	-0.07
0.75	-0.08
0.90	-0.07
0.90	-0.08
1.20	-0.07
1.35	-0.08
1.50	-0.07
1.50	-0.07
1.80	-0.07
1.80	-0.07
1.95	-0.07
2.25	-0.07
2.40	-0.07
2.55	-0.07
2.55	-0.07
2.85	-0.07
2.85	-0.07
3.00	-0.07
3.15	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.08
0.15	-0.07
0.15	-0.08
0.15	-0.07
0.15	-0.08
0.15	-0.07
0.15	-0.08
0.15	-0.07
0.15	-0.08
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.08
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.08
0.00	-0.07
0.00	-0.08
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.08
0.00	-0.07
0.00	-0.08
0.00	-0.07
0.15	-0.08
0.00	-0.07
0.15	-0.08
0.15	-0.07
0.00	-0.08
0.00	-0.07
0.15	-0.08
0.00	-0.07
0.15	-0.08
0.15	-0.07
0.00	-0.07
0.15	-0.08
0.15	-0.07
0.00	-0.08
0.00	-0.07
0.15	-0.07
0.00	-0.07
-0.15	-0.08
0.15	-0.07
0.00	-0.08
0.15	-0.07
0.00	-0.08
0.00	-0.07
0.00	-0.08
0.00	-0.07
0.15	-0.08
0.15	-0.07
-0.15	-0.08
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.08
0.15	-0.07
0.00	-0.08
0.15	-0.07
0.00	-0.08
0.15	-0.07
0.15	-0.08
0.15	-0.07
0.15	-0.08
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.08
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.08
0.00	-0.07
0.15	-0.08
0.15	-0.07
0.00	-0.08
0.15	-0.07
0.15	-0.08
0.15	-0.07
0.00	-0.08
0.00	-0.07
0.15	-0.08
0.15	-0.07
0.15	-0.08
0.00	-0.08
0.00	-0.08
0.00	-0.08
0.15	-0.08
0.00	-0.08
0.15	-0.08
0.00	-0.08
0.15	-0.08
0.15	-0.08
0.00	-0.08
0.15	-0.08
0.00	-0.08
0.00	-0.08
0.15	-0.08
0.15	-0.08
0.15	-0.08
0.00	-0.08
0.15	-0.08
