U_B / V	U_A / V
0.15	-0.07
0.00	-0.06
0.15	-0.07
0.00	-0.06
0.00	-0.07
0.15	-0.06
0.30	-0.07
0.45	-0.06
0.45	-0.07
0.75	-0.06
1.05	-0.07
0.90	-0.06
1.20	-0.07
1.35	-0.05
1.35	-0.06
1.50	-0.05
1.65	-0.06
1.80	-0.05
1.95	-0.06
2.25	-0.05
2.25	-0.06
2.40	-0.05
2.55	-0.06
2.85	-0.05
2.85	-0.06
3.00	-0.06
3.15	-0.06
3.30	-0.05
3.45	-0.06
3.45	-0.06
3.75	-0.06
3.90	-0.06
3.90	-0.06
4.05	-0.06
4.35	-0.06
4.50	-0.06
4.50	-0.06
4.65	-0.06
4.95	-0.06
4.95	-0.06
5.10	-0.05
5.25	-0.06
5.40	-0.05
5.55	-0.06
5.70	-0.04
5.85	-0.05
6.00	-0.03
6.30	-0.04
6.45	-0.02
6.45	-0.03
6.60	-0.01
6.75	-0.02
6.90	-0.01
7.05	-0.01
7.50	0.00
7.35	0.00
7.50	0.01
7.65	0.00
7.65	0.01
7.95	0.00
7.95	0.01
8.10	0.01
8.25	0.01
8.55	0.01
8.55	0.01
8.70	0.01
9.00	0.00
9.00	0.01
9.30	0.01
9.45	0.01
9.45	0.01
9.60	0.01
9.75	0.01
9.90	0.02
10.05	0.02
10.35	0.03
10.35	0.04
10.65	0.06
10.50	0.07
10.80	0.09
10.95	0.11
11.10	0.13
11.25	0.14
11.25	0.17
11.55	0.17
11.70	0.18
11.85	0.18
12.00	0.19
12.15	0.18
12.30	0.19
12.45	0.17
12.60	0.18
12.60	0.17
12.75	0.17
12.90	0.16
13.05	0.16
13.35	0.14
13.35	0.14
13.50	0.12
13.65	0.13
13.65	0.12
13.95	0.12
14.10	0.11
14.25	0.12
14.40	0.11
14.55	0.13
14.70	0.14
14.70	0.16
15.00	0.19
15.15	0.21
15.30	0.25
15.45	0.29
15.60	
15.75	0.44
15.75	0.48
16.05	0.55
16.05	0.60
16.35	0.63
16.35	0.65
16.50	0.63
16.65	0.63
16.80	0.60
16.95	0.58
17.10	0.55
17.40	0.53
17.40	0.49
17.55	0.47
17.70	0.42
17.85	0.40
18.00	0.35
18.00	0.33
18.30	0.29
18.45	0.28
18.60	0.25
18.75	0.25
18.75	0.23
19.05	0.24
19.20	0.24
19.35	0.27
19.35	0.29
19.50	0.34
19.65	0.39
19.80	0.47
19.95	0.54
20.10	0.65
20.25	0.75
20.40	0.90
20.55	
20.70	1.20
21.00	1.28
21.00	1.37
21.15	1.43
21.15	1.44
21.75	1.42
21.60	1.36
21.75	1.31
21.90	1.22
22.05	1.15
22.20	1.06
22.35	0.96
22.50	0.88
22.65	0.79
22.65	0.72
22.95	0.65
23.10	0.58
23.25	0.52
23.25	0.47
23.40	0.44
23.55	0.41
23.70	0.41
23.85	0.41
24.00	0.44
24.15	0.47
24.30	0.55
24.45	0.61
24.60	0.72
24.75	0.85
24.90	1.00
25.05	1.19
25.20	1.39
25.35	1.62
25.50	1.86
25.65	2.11
25.80	2.35
25.95	2.48
26.10	2.59
26.25	2.58
26.40	2.56
26.40	2.48
26.70	2.38
26.70	2.23
26.85	2.09
27.15	1.89
27.30	1.74
27.30	1.56
27.45	1.39
27.60	1.24
27.90	1.10
27.90	0.98
28.20	0.87
28.20	0.77
28.35	0.72
28.50	0.68
28.65	0.66
28.80	0.67
28.95	0.70
29.10	0.77
29.25	0.87
29.55	0.98
29.55	1.15
29.55	1.33
29.85	1.58
30.00	1.86
30.00	1.91
30.00	1.91
30.00	1.90
30.00	1.91
30.00	1.90
29.85	1.91
30.00	1.90
30.00	1.91
30.00	1.90
30.00	1.91
30.00	1.90
30.00	1.91
30.00	1.90
30.00	1.91
30.00	1.90
30.00	1.91
29.85	1.90
29.85	1.91
30.00	1.91
30.00	1.91
29.85	1.90
29.85	1.90
30.00	1.90
30.00	1.91
29.85	1.90
30.00	1.90
30.00	1.90
30.00	1.90
30.00	1.90
30.45	1.90
30.00	1.90
30.00	1.90
30.00	1.90
30.00	1.90
30.00	1.90
30.00	1.90
30.00	1.89
30.30	1.89
30.00	1.89
29.85	1.89
30.00	1.90
30.00	1.89
29.85	1.90
30.00	1.89
30.00	1.90
30.00	1.89
30.00	1.89
29.85	1.88
30.00	1.90
30.00	1.89
