U_B / V	U_A / V
0.00	-0.06
0.15	-0.07
0.00	-0.06
0.15	-0.07
0.00	-0.06
0.15	-0.06
0.00	-0.06
0.15	-0.07
0.30	-0.06
0.45	-0.06
0.45	-0.06
0.75	-0.06
0.90	-0.06
1.05	-0.06
1.20	-0.06
1.35	-0.06
1.50	-0.06
1.65	-0.06
1.65	-0.07
1.95	-0.06
1.95	-0.07
2.10	-0.06
2.40	-0.07
2.40	-0.06
2.70	-0.07
2.70	-0.06
2.85	-0.07
3.15	-0.06
3.15	-0.07
3.45	-0.06
3.60	-0.07
3.60	-0.06
3.75	-0.08
3.90	-0.06
4.05	-0.07
4.20	-0.06
4.35	-0.07
4.50	-0.06
4.65	-0.07
4.80	-0.06
4.95	-0.06
5.10	-0.06
5.25	-0.06
5.10	-0.06
5.55	-0.06
5.55	-0.05
5.85	-0.06
5.85	-0.05
6.00	-0.06
6.30	-0.05
6.45	-0.06
6.45	-0.05
6.60	-0.05
6.75	-0.05
6.90	-0.05
7.05	-0.05
7.20	-0.05
7.35	-0.05
7.50	-0.04
7.65	-0.05
7.80	-0.04
7.95	-0.05
8.10	-0.04
8.10	-0.04
8.55	-0.04
8.55	-0.04
8.70	-0.04
8.70	-0.05
8.85	-0.04
9.15	-0.05
9.30	-0.04
9.45	-0.05
9.45	-0.04
9.60	-0.05
9.90	-0.04
9.90	-0.05
10.05	-0.03
10.35	-0.05
10.35	-0.03
10.50	-0.04
10.80	-0.02
10.80	-0.02
10.95	0.00
11.10	0.00
11.25	0.02
11.40	0.02
11.55	0.03
11.55	0.02
11.85	0.03
12.00	0.03
12.00	0.03
12.15	0.03
12.30	0.03
12.45	0.02
12.60	0.03
12.90	0.02
13.05	0.02
13.20	0.02
13.20	0.01
13.35	0.01
13.50	0.00
13.65	0.00
13.95	0.00
13.95	0.00
14.10	-0.01
14.25	-0.01
14.40	-0.02
14.55	-0.01
14.70	-0.02
15.00	-0.01
15.15	-0.01
15.15	0.01
15.30	0.01
15.45	0.04
15.60	0.05
15.60	0.09
15.90	0.11
16.05	0.15
16.20	0.16
16.35	0.19
16.35	0.19
16.50	0.20
16.65	0.19
16.80	0.20
17.10	0.18
17.25	0.18
17.25	0.17
17.40	0.16
17.55	0.15
17.70	0.14
17.85	0.11
18.00	0.11
18.15	0.09
18.30	0.09
18.60	0.07
18.60	0.06
18.90	0.05
18.90	0.04
19.05	0.03
19.20	0.02
19.50	0.02
19.50	0.02
19.65	0.02
19.80	0.03
19.95	0.05
19.95	0.07
20.25	0.12
20.40	0.15
20.40	0.22
20.55	0.27
20.85	
20.85	0.42
21.00	0.46
21.30	0.49
21.30	0.51
21.60	0.51
21.60	0.50
21.75	0.47
21.90	0.45
22.05	0.42
22.20	0.39
22.35	0.35
22.50	0.32
22.65	0.28
22.80	0.26
22.95	0.22
23.10	0.21
23.25	0.17
23.40	0.15
23.40	0.12
23.70	0.11
23.85	
24.00	0.06
24.00	0.05
24.15	0.06
24.30	0.06
24.45	0.08
24.60	0.10
24.90	0.14
24.90	0.18
25.05	0.26
25.20	
25.35	0.43
25.50	0.54
25.65	0.67
25.80	0.76
25.95	0.87
26.10	0.93
26.25	0.96
26.40	0.96
26.55	0.95
26.70	0.92
26.85	0.87
27.00	0.82
27.15	0.74
27.15	0.69
27.30	0.61
27.45	0.56
27.75	0.49
27.90	0.43
28.05	0.37
28.20	0.32
28.35	0.27
28.35	0.24
28.50	0.19
28.95	0.17
28.80	0.13
28.95	0.13
29.10	0.11
29.25	0.13
29.40	0.13
29.55	0.18
29.70	0.22
29.85	0.30
30.00	0.39
30.00	0.39
30.00	0.39
30.00	0.40
30.00	0.39
30.00	0.39
30.00	0.39
30.00	0.39
30.00	0.38
29.85	0.39
30.00	0.38
29.85	0.39
30.00	0.39
30.00	0.38
30.00	0.38
30.00	0.38
30.00	0.38
30.00	0.38
30.00	0.38
29.85	0.38
30.00	0.38
29.85	0.38
29.85	0.38
29.85	0.38
30.00	0.38
30.00	0.38
29.85	0.38
29.85	0.38
30.00	0.39
29.85	0.37
29.85	0.38
30.00	0.37
30.00	0.38
30.00	0.37
30.00	0.39
30.00	0.37
29.85	0.38
30.00	0.37
30.00	0.38
30.00	0.38
30.00	0.39
30.00	0.38
0.15	
0.15	-0.07
0.15	-0.06
0.30	-0.06
0.30	-0.05
0.60	-0.06
0.60	-0.05
0.15	-0.06
0.15	-0.05
0.00	-0.06
0.15	-0.05
0.15	-0.06
0.15	-0.06
-0.15	-0.06
0.30	-0.06
0.00	-0.06
0.15	-0.06
0.15	-0.06
0.15	-0.07
0.15	-0.06
