num	tau	y	dy	ymax	my
142	10	8.29	0.216269	8.5	0.21
143	20	7.28625	0.218577	7.5	0.21375
144	30	6.5375	0.216955	6.75	0.2125
145	40	5.915	0.214046	6.125	0.21
146	50	5.28625	0.217481	5.5	0.21375
147	60	4.73	0.213349	4.9375	0.2075
148	70	4.3425	0.223323	4.5625	0.22
149	80	3.97	0.224796	4.1875	0.2175
150	90	3.60375	0.213511	3.8125	0.20875
151	100	3.28	0.224036	3.5	0.22
152	150	2.22375	0.219306	2.4375	0.21375
153	200	1.535	0.219099	1.75	0.215
