n	m	dm	h	dh	x	dx	y	dy	1/dy^2	mx	my	mxy	mx^2
1	75	0	40.12	0.06	75	0	40.12	0.06	277.7777778	20833.33333	11144.44444	835833.3333	1562500
2	78	0	41.74	0.07	78	0	41.74	0.07	204.0816327	15918.36735	8518.367347	664432.6531	1241632.653
3	79	0	42.22	0.06	79	0	42.22	0.06	277.7777778	21944.44444	11727.77778	926494.4444	1733611.111
4	80	0	42.8	0.06	80	0	42.8	0.06	277.7777778	22222.22222	11888.88889	951111.1111	1777777.778
5	81	0	43.44	0.07	81	0	43.44	0.07	204.0816327	16530.61224	8865.306122	718089.7959	1338979.592
6	82	0	43.76	0.07	82	0	43.76	0.07	204.0816327	16734.69388	8930.612245	732310.2041	1372244.898
7	85	0	45.47	0.11	85	0	45.47	0.11	82.6446281	7024.793388	3757.85124	319417.3554	597107.438
													
													
													
													
													
													
													
													
													
													
													
													
													
