n	a	da	b	db	c	dc	order	m	s	ds	I	alpha	dalpha	mittelalpha	korrektur	gang	dgang	gang0	dgang0	lambda0	gang-	dgang-	gang+	dgang+	deltagang-	ddeltagang-	deltagang+	ddeltagang+	deltalambda-	ddeltalambda-	deltalambda+	ddeltalambda+	deltaE-	ddeltaE-	deltaE+	ddeltaE+	a	b	c	B	dB	B2
46	61.7975	0.55241	1063.86	0.849066	39.8722	1.2624	1	0	33.86432869	1.072183841	7.2	-0.003720267	7.92462E-05	0.00011396	-0.003834227	0.01165596	1.66835E-09	0.01165596	1.66835E-09	6.43798E-07	#	#	0.01165574	1.97868E-09	#WERT!	#WERT!	-2.19759E-07	2.58816E-09	#WERT!	#WERT!	-1.2138E-11	-1.478E-13	#WERT!	#WERT!	-5.81733E-24	-6.85123E-26	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
47	29.2271	0.917013	1127.07	0.396656	16.5369	0.621107	1	1	14.04514968	0.527519715	7.2	-0.009619867	3.70212E-05	0.00011396	-0.009733827	0.01165574	1.97868E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
48	41.2495	0.32468	1169.45	0.356187	17.4137	0.764128	2	-1	14.78983503	0.648990569	7.2	-0.013575333	3.32441E-05	0.00011396	-0.013689293	0.011655486	2.49888E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
49	44	2.23267	1194.55	0.22516	8.58863	0.310972	2	0	7.294510694	0.264115299	7.2	-0.015918	2.10149E-05	0.00011396	-0.01603196	0.011655294	1.85E-09	0.011655294	1.85E-09	6.43761E-07	0.011655486	2.49888E-09	0.011655091	3.61725E-09	1.91162E-07	3.10916E-09	-2.03588E-07	4.06288E-09	1.05585E-11	1.74807E-13	-1.12448E-11	-2.27086E-13	5.06061E-24	8.23088E-26	-5.38957E-24	-1.07556E-25	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
50	37.9037	0.358754	1217.76	0.387836	14.1891	0.706601	2	1	12.05111196	0.600131633	7.2	-0.018084267	3.6198E-05	0.00011396	-0.018198227	0.011655091	3.61725E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
51	41.2826	0.680767	828.008	0.545552	18.0905	1.05555	-2	-1	15.36465603	0.896501626	7.5	0.018292587	5.09182E-05	0.000114968	0.018177619	0.011655093	5.08246E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
52	28.3209	1.87001	851.149	0.214097	7.006	0.348786	-2	0	5.950348533	0.296231553	7.5	0.01613276	1.99824E-05	0.000114968	0.016017792	0.011655296	1.75755E-09	0.011655296	1.75755E-09	6.43761E-07	0.011655093	5.08246E-09	0.011655476	3.27521E-09	-2.02776E-07	5.37777E-09	1.80512E-07	3.71698E-09	-1.12E-11	-2.99046E-13	9.97029E-12	2.07605E-13	-5.36809E-24	-1.42365E-25	4.77869E-24	9.83995E-26	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
53	48.3495	0.395294	874.763	0.462635	21.1435	1.05116	-2	1	17.95763548	0.892773104	7.5	0.013928787	4.31793E-05	0.000114968	0.013813819	0.011655476	3.27521E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
54	32.5046	1.17099	920.533	0.467175	-16.7063	0.631758	-1	-1	14.18902479	0.536565842	7.5	0.00965692	0.000043603	0.000114968	0.009541952	0.01165575	2.28451E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
55	64.4808	0.808608	981.499	0.884953	37.9811	1.24411	-1	0	32.25817623	1.056649745	7.5	0.00396676	8.25956E-05	0.000114968	0.003851792	0.011655959	1.74683E-09	0.011655959	1.74683E-09	6.43798E-07	0.01165575	2.28451E-09	#	#	-2.09234E-07	2.87583E-09	#WERT!	#WERT!	-1.15567E-11	-1.62814E-13	#WERT!	#WERT!	-5.53873E-24	-7.61275E-26	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
56	65.0908	0.661405	1063.61	0.908542	39.599	1.33084	1	0	33.63229397	1.130311425	7.5	-0.003696933	8.47973E-05	0.000114968	-0.003811901	0.01165596	1.77482E-09	0.01165596	1.77482E-09	6.43798E-07	#	#	0.011655738	2.08718E-09	#WERT!	#WERT!	-2.2203E-07	2.73976E-09	#WERT!	#WERT!	-1.22635E-11	-1.56008E-13	#WERT!	#WERT!	-5.87746E-24	-7.25255E-26	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
57	31.8436	0.997837	1127.42	0.416964	17.1191	0.66893	1	1	14.53962483	0.568136832	7.5	-0.009652533	3.89166E-05	0.000114968	-0.009767501	0.011655738	2.08718E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
58	43.5807	0.342122	1168.81	0.324144	16.7333	0.734303	2	-1	14.21195648	0.623659546	7.5	-0.0135156	3.02534E-05	0.000114968	-0.013630568	0.01165549	2.26432E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
59	46.1835	2.43014	1194.05	0.220252	8.66618	0.313298	2	0	7.360375599	0.266090821	7.5	-0.015871333	2.05569E-05	0.000114968	-0.015986301	0.011655298	1.80452E-09	0.011655298	1.80452E-09	6.43761E-07	0.01165549	2.26432E-09	0.01165509	4.09189E-09	1.91553E-07	2.89542E-09	-2.08449E-07	4.47212E-09	1.05801E-11	1.63238E-13	-1.15133E-11	-2.49564E-13	5.07097E-24	7.66502E-26	-5.51825E-24	-1.1839E-25	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
60	40.1569	0.368355	1217.84	0.438522	15.5039	0.800114	2	1	13.16780026	0.679554263	7.5	-0.018091733	4.09287E-05	0.000114968	-0.018206701	0.01165509	4.09189E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
61	44.3432	0.594238	827.832	0.504399	-18.1301	1.08696	-2	-1	15.39828917	0.923178824	7.8	0.018309013	4.70772E-05	0.000108565	0.018200448	0.011655091	4.70498E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
62	31.74	2.31542	851.42	0.229708	7.49567	0.375024	-2	0	6.366235939	0.318516059	7.8	0.016107467	2.14394E-05	0.000108565	0.015998901	0.011655297	1.88347E-09	0.011655297	1.88347E-09	6.43761E-07	0.011655091	4.70498E-09	0.011655481	2.94262E-09	-2.06717E-07	5.06797E-09	1.83855E-07	3.49378E-09	-1.14177E-11	-2.8214E-13	1.01549E-11	1.95513E-13	-5.47241E-24	-1.34164E-25	4.86718E-24	9.24907E-26	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
63	50.5466	0.400049	875.54	0.417655	20.4363	1.05629	-2	1	17.35699511	0.897130124	7.8	0.013856267	3.89811E-05	0.000108565	0.013747701	0.011655481	2.94262E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
64	35.0287	1.26995	920.192	0.501846	17.0196	0.671727	-1	-1	14.45511731	0.570512385	7.8	0.009688747	4.6839E-05	0.000108565	0.009580181	0.011655748	2.46389E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
65	67.6685	0.890704	981.874	0.929589	38.0357	1.29552	-1	0	32.3045492	1.100313379	7.8	0.00393176	8.67616E-05	0.000108565	0.003823195	0.01165596	1.82132E-09	0.01165596	1.82132E-09	6.43798E-07	0.011655748	2.46389E-09	#	#	-2.11844E-07	3.06398E-09	#WERT!	#WERT!	-1.17008E-11	-1.7306E-13	#WERT!	#WERT!	-5.60781E-24	-8.11079E-26	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
66	67.8515	0.754651	1063.39	0.950983	39.3492	1.38253	1	0	33.42013338	1.174212869	7.8	-0.0036764	8.87584E-05	0.000108565	-0.003784965	0.011655961	1.8446E-09	0.011655961	1.8446E-09	6.43798E-07	#	#	0.011655736	2.15597E-09	#WERT!	#WERT!	-2.24857E-07	2.83739E-09	#WERT!	#WERT!	-1.24196E-11	-1.61358E-13	#WERT!	#WERT!	-5.95228E-24	-7.51097E-26	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
67	34.3721	1.05001	1127.94	0.428857	17.7094	0.709623	1	1	15.04097949	0.602698284	7.8	-0.009701067	4.00267E-05	0.000108565	-0.009809632	0.011655736	2.15597E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
68	45.4338	0.39049	1168.22	0.311988	15.9236	0.694315	2	-1	13.52426062	0.589696866	7.8	-0.013460533	2.91189E-05	0.000108565	-0.013569099	0.011655495	2.16958E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
69	50.1631	2.51562	1193.75	0.224523	-8.91013	0.316722	2	0	7.567567652	0.268998899	7.8	-0.015843333	2.09555E-05	0.000108565	-0.015951899	0.011655301	1.83555E-09	0.011655301	1.83555E-09	6.43761E-07	0.011655495	2.16958E-09	0.011655087	4.20235E-09	1.93126E-07	2.84188E-09	-2.1428E-07	4.58574E-09	1.0667E-11	1.60397E-13	-1.18354E-11	-2.55917E-13	5.11262E-24	7.52331E-26	-5.67262E-24	-1.21398E-25	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
70	42.1569	0.387785	1218.21	0.449665	15.7885	0.863315	2	1	13.40951724	0.73323225	7.8	-0.018126267	4.19687E-05	0.000108565	-0.018234832	0.011655087	4.20235E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
71	46.3447	0.509655	827.661	0.470755	17.8959	1.09776	-2	-1	15.19937801	0.932351499	8.1	0.018324973	4.39371E-05	0.000109023	0.018215951	0.011655089	4.39489E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
72	35.3236	2.86218	851.697	0.251792	8.04204	0.406736	-2	0	6.830279891	0.345449752	8.1	0.016081613	2.35006E-05	0.000109023	0.015972591	0.0116553	2.06115E-09	0.0116553	2.06115E-09	6.43761E-07	0.011655089	4.39489E-09	0.011655486	2.71791E-09	-2.10577E-07	4.85422E-09	1.86107E-07	3.41107E-09	-1.16309E-11	-2.70517E-13	1.02793E-11	1.91069E-13	-5.57458E-24	-1.28505E-25	4.9268E-24	9.0301E-26	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
73	51.7416	0.394986	876.184	0.387468	19.5183	1.04732	-2	1	16.57731769	0.889511708	8.1	0.01379616	3.61637E-05	0.000109023	0.013687137	0.011655486	2.71791E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
74	36.7468	1.34075	919.753	0.538484	17.4378	0.73076	-1	-1	14.81030369	0.620650399	8.1	0.00972972	5.02585E-05	0.000109023	0.009620697	0.011655746	2.65495E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
75	69.1708	0.985701	982.084	0.988512	38.0917	1.3739	-1	0	32.35211122	1.166883221	8.1	0.00391216	9.22611E-05	0.000109023	0.003803137	0.01165596	1.9266E-09	0.01165596	1.9266E-09	6.43798E-07	0.011655746	2.65495E-09	#	#	-2.14399E-07	3.28033E-09	#WERT!	#WERT!	-1.1842E-11	-1.84849E-13	#WERT!	#WERT!	-5.67546E-24	-8.6835E-26	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
76	69.563	0.849667	1063.12	1.01673	39.3213	1.4418	1	0	33.39643731	1.224552172	8.1	-0.0036512	9.48948E-05	0.000109023	-0.003760223	0.011655961	1.95924E-09	0.011655961	1.95924E-09	6.43798E-07	#	#	0.011655735	2.22262E-09	#WERT!	#WERT!	-2.25947E-07	2.96288E-09	#WERT!	#WERT!	-1.24798E-11	-1.68141E-13	#WERT!	#WERT!	-5.98114E-24	-7.84317E-26	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
77	35.9677	1.10244	1128.05	0.441632	17.8786	0.73186	1	1	15.18468474	0.621584653	8.1	-0.009711333	4.1219E-05	0.000109023	-0.009820356	0.011655735	2.22262E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
78	46.5887	0.430544	1167.8	0.3148	15.7024	0.695467	2	-1	13.33639064	0.590675284	8.1	-0.013421333	2.93813E-05	0.000109023	-0.013530356	0.011655497	2.18288E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
79	52.3572	2.55288	1193.54	0.226993	9.02786	0.31945	2	0	7.667558308	0.271315849	8.1	-0.015823733	2.1186E-05	0.000109023	-0.015932756	0.011655303	1.85352E-09	0.011655303	1.85352E-09	6.43762E-07	0.011655497	2.18288E-09	0.011655085	4.13704E-09	1.94333E-07	2.86365E-09	-2.18059E-07	4.53328E-09	1.07337E-11	1.61616E-13	-1.20441E-11	-2.53145E-13	5.14457E-24	7.58092E-26	-5.77265E-24	-1.20009E-25	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
80	43.5912	0.402399	1218.43	0.442168	15.8954	0.883357	2	1	13.50030974	0.750254358	8.1	-0.0181468	4.1269E-05	0.000109023	-0.018255823	0.011655085	4.13704E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
81	47.8795	0.478622	827.212	0.443963	17.6262	1.1011	-2	-1	14.97031592	0.935188234	8.4	0.01836688	4.14365E-05	0.000100921	0.018265959	0.011655084	4.15614E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
82	38.5479	3.33642	851.976	0.273361	8.55591	0.433752	-2	0	7.266720884	0.36839503	8.4	0.016055573	2.55137E-05	0.000100921	0.015954652	0.011655301	2.2352E-09	0.011655301	2.2352E-09	6.43761E-07	0.011655084	4.15614E-09	0.01165549	2.75867E-09	-2.17158E-07	4.71908E-09	1.8854E-07	3.55055E-09	-1.19944E-11	-2.63277E-13	1.04137E-11	1.98736E-13	-5.74881E-24	-1.24928E-25	4.99122E-24	9.39935E-26	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
83	52.2805	0.407569	876.843	0.39482	19.067	1.10307	-2	1	16.19401877	0.936861398	8.4	0.013734653	3.68499E-05	0.000100921	0.013633732	0.01165549	2.75867E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
84	38.2307	1.42404	919.486	0.584402	17.6716	0.773429	-1	-1	15.00887513	0.656890111	8.4	0.00975464	5.45442E-05	0.000100921	0.009653719	0.011655744	2.89123E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
85	70.5172	1.01235	982.67	1.02937	38.3205	1.42625	-1	0	32.54643605	1.211345218	8.4	0.003857467	9.60745E-05	0.000100921	0.003756545	0.011655961	1.98166E-09	0.011655961	1.98166E-09	6.43798E-07	0.011655744	2.89123E-09	#	#	-2.17114E-07	3.50517E-09	#WERT!	#WERT!	-1.19919E-11	-1.97123E-13	#WERT!	#WERT!	-5.74731E-24	-9.27868E-26	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
86	70.6209	0.953517	1063.09	1.04716	38.8562	1.45079	1	0	33.00141774	1.232187575	8.4	-0.0036484	9.77349E-05	0.000100921	-0.003749321	0.011655961	2.01203E-09	0.011655961	2.01203E-09	6.43798E-07	#	#	0.011655734	2.25301E-09	#WERT!	#WERT!	-2.27448E-07	3.02065E-09	#WERT!	#WERT!	-1.25627E-11	-1.71306E-13	#WERT!	#WERT!	-6.02087E-24	-7.99609E-26	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
87	37.8303	1.10571	1128.39	0.446596	18.2646	0.746317	1	1	15.51252295	0.633863298	8.4	-0.009743067	4.16823E-05	0.000100921	-0.009843988	0.011655734	2.25301E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
88	47.174	0.501739	1167.38	0.313046	15.2633	0.674318	2	-1	12.96345343	0.572712978	8.4	-0.013382133	2.92176E-05	0.000100921	-0.013483055	0.011655501	2.16313E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
89	54.8166	2.47804	1193.32	0.226677	9.19792	0.31737	2	0	7.811993973	0.26954926	8.4	-0.0158032	2.11565E-05	0.000100921	-0.015904121	0.011655306	1.84761E-09	0.011655306	1.84761E-09	6.43762E-07	0.011655501	2.16313E-09	0.011655082	3.95941E-09	1.95338E-07	2.84478E-09	-2.23401E-07	4.36927E-09	1.07892E-11	1.60632E-13	-1.23392E-11	-2.44329E-13	5.17118E-24	7.53097E-26	-5.91407E-24	-1.15667E-25	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
90	44.7114	0.410544	1218.82	0.422527	15.9556	0.894821	2	1	13.55143892	0.759990983	8.4	-0.0181832	3.94359E-05	0.000100921	-0.018284121	0.011655082	3.95941E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
91	48.6808	0.464019	826.953	0.435262	-17.3216	1.09135	-2	-1	14.7116125	0.926907347	8.5	0.018391053	4.06245E-05	0.000108948	0.018282105	0.011655082	4.07829E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
92	40.8743	3.56628	852.015	0.283909	8.8099	0.442749	-2	0	7.482440128	0.376036378	8.5	0.016051933	2.64982E-05	0.000108948	0.015942985	0.011655302	2.31975E-09	0.011655302	2.31975E-09	6.43762E-07	0.011655082	4.07829E-09	0.011655492	2.79854E-09	-2.198E-07	4.69188E-09	1.89892E-07	3.63498E-09	-1.21403E-11	-2.61855E-13	1.04883E-11	2.03376E-13	-5.81875E-24	-1.24208E-25	5.02699E-24	9.62287E-26	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
93	52.6448	0.439247	877.097	0.401461	18.7134	1.11208	-2	1	15.89369858	0.944513788	8.5	0.013710947	3.74697E-05	0.000108948	0.013601999	0.011655492	2.79854E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
94	39.2747	1.44171	919.239	0.599965	17.837	0.795047	-1	-1	15.14935295	0.675250749	8.5	0.009777693	5.59967E-05	0.000108948	0.009668745	0.011655743	2.97285E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
95	70.8515	1.10113	982.363	1.04293	37.9556	1.42741	-1	0	32.23651852	1.212330431	8.5	0.00388612	9.73401E-05	0.000108948	0.003777172	0.011655961	2.01879E-09	0.011655961	2.01879E-09	6.43798E-07	0.011655743	2.97285E-09	#	#	-2.17484E-07	3.59351E-09	#WERT!	#WERT!	-1.20124E-11	-2.01929E-13	#WERT!	#WERT!	-5.75712E-24	-9.51255E-26	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
96	71.5573	0.941165	1062.65	1.07351	39.2689	1.49637	1	0	33.35193284	1.270899662	8.5	-0.003607333	0.000100194	0.000108948	-0.003716281	0.011655962	2.04448E-09	0.011655962	2.04448E-09	6.43798E-07	#	#	0.011655732	2.31992E-09	#WERT!	#WERT!	-2.29772E-07	3.09224E-09	#WERT!	#WERT!	-1.26911E-11	-1.75248E-13	#WERT!	#WERT!	-6.08239E-24	-8.18561E-26	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
97	38.3556	1.13846	1128.63	0.458443	18.3834	0.764825	1	1	15.61342238	0.649582546	8.5	-0.009765467	4.2788E-05	0.000108948	-0.009874415	0.011655732	2.31992E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
98	47.4932	0.545388	1167.17	0.316284	15.0695	0.672356	2	-1	12.79885487	0.571046608	8.5	-0.013362533	2.95198E-05	0.000108948	-0.013471481	0.011655502	2.18363E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
99	55.9936	2.47571	1193.21	0.22898	9.2934	0.320573	2	0	7.893087219	0.272269637	8.5	-0.015792933	2.13715E-05	0.000108948	-0.015901881	0.011655306	1.86612E-09	0.011655306	1.86612E-09	6.43762E-07	0.011655502	2.18363E-09	0.01165508	3.91942E-09	1.95999E-07	2.87239E-09	-2.2609E-07	4.341E-09	1.08257E-11	1.62147E-13	-1.24877E-11	-2.42859E-13	5.18867E-24	7.60406E-26	-5.98528E-24	-1.14919E-25	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
100	45.3822	0.417133	1219	0.417693	16.0113	0.910278	2	1	13.59874614	0.77311895	8.5	-0.0182	3.89847E-05	0.000108948	-0.018308948	0.01165508	3.91942E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
