p	I1 / %
0	0.8
1	0.8
2	0.8
3	0.8
4	0.8
5	0.8
6	0.8
7	0.8
8	0.8
9	0.8
10	0.8
11	0.8
12	0.8
13	0.8
14	0.8
15	0.8
16	0.8
17	0.8
18	0.8
19	0.8
20	0.8
21	0.8
22	0.8
23	0.8
24	0.8
25	0.8
26	0.8
27	0.8
28	0.8
29	0.8
30	0.8
31	0.8
32	0.8
33	0.8
34	0.8
35	0.8
36	0.8
37	0.8
38	0.8
39	0.8
40	0.8
41	0.8
42	0.8
43	0.8
44	0.8
45	0.8
46	0.8
47	0.9
48	0.9
49	0.9
50	0.9
51	0.9
52	0.9
53	0.9
54	0.9
55	1.0
56	1.0
57	1.0
58	1.0
59	1.0
60	1.0
61	1.1
62	1.1
63	1.1
64	1.1
65	1.1
66	1.1
67	1.1
68	1.1
69	1.2
70	1.2
71	1.2
72	1.2
73	1.2
74	1.2
75	1.2
76	1.2
77	1.2
78	1.2
79	1.3
80	1.4
81	1.4
82	1.4
83	1.6
84	1.6
85	1.6
86	1.6
87	1.6
88	1.6
89	1.6
90	1.6
91	1.7
92	1.8
93	2.0
94	2.1
95	2.3
96	2.4
97	2.5
98	2.7
99	2.8
100	2.9
101	2.9
102	2.9
103	2.9
104	2.9
105	2.9
106	2.9
107	3.0
108	3.2
109	3.5
110	3.6
111	3.7
112	4.0
113	4.4
114	4.6
115	4.6
116	4.5
117	4.4
118	4.4
119	4.4
120	4.4
121	4.4
122	4.5
123	4.8
124	5.2
125	5.6
126	5.9
127	6.2
128	6.6
129	6.9
130	6.9
131	6.8
132	6.5
133	6.5
134	6.5
135	6.5
136	6.6
137	6.8
138	7.2
139	7.6
140	7.9
141	7.9
142	7.9
143	7.9
144	8.2
145	8.6
146	8.8
147	8.8
148	8.8
149	8.9
150	8.9
151	9.0
152	9.2
153	9.5
154	9.9
155	10.3
156	10.8
157	11.2
158	11.3
159	11.5
160	11.8
161	11.9
162	11.9
163	11.7
164	11.6
165	11.8
166	12.2
167	12.6
168	12.8
169	13.1
170	13.5
171	13.9
172	14.0
173	14.0
174	14.0
175	14.1
176	14.4
177	14.8
178	14.8
179	14.7
180	14.8
181	15.3
182	15.7
183	16.1
184	16.5
185	16.8
186	17.0
187	17.3
188	17.4
189	17.4
190	17.3
191	17.4
192	17.6
193	18.0
194	18.3
195	18.5
196	18.6
197	18.9
198	19.2
199	19.5
200	19.9
201	20.3
202	20.5
203	20.5
204	20.5
205	20.5
206	20.5
207	20.5
208	20.6
209	21.0
210	21.6
211	22.3
212	22.6
213	22.8
214	22.8
215	23.0
216	23.4
217	23.6
