p	I1 / %
0	0.7
1	0.7
2	0.7
3	0.7
4	0.7
5	0.7
6	0.7
7	0.7
8	0.7
9	0.7
10	0.7
11	0.7
12	0.7
13	0.7
14	0.7
15	0.7
16	0.7
17	0.7
18	0.7
19	0.7
20	0.7
21	0.7
22	0.7
23	0.7
24	0.7
25	0.7
26	0.7
27	0.8
28	0.8
29	0.8
30	0.8
31	0.8
32	0.8
33	0.8
34	0.8
35	0.8
36	0.8
37	0.8
38	0.8
39	0.8
40	0.8
41	0.8
42	0.8
43	0.8
44	0.8
45	0.8
46	0.8
47	0.8
48	0.8
49	0.8
50	0.8
51	0.8
52	0.8
53	0.8
54	0.8
55	0.8
56	0.8
57	0.8
58	0.8
59	0.8
60	0.8
61	0.8
62	0.8
63	0.8
64	0.8
65	0.8
66	0.8
67	0.8
68	0.8
69	0.8
70	0.8
71	0.8
72	0.8
73	0.8
74	0.8
75	0.8
76	0.8
77	0.8
78	0.8
79	0.8
80	0.8
81	0.8
82	0.8
83	0.9
84	0.9
85	1.1
86	1.1
87	1.2
88	1.2
89	1.2
90	1.2
91	1.2
92	1.2
93	1.3
94	1.4
95	1.6
96	1.6
97	1.6
98	1.6
99	2.0
100	2.0
101	2.0
102	2.0
103	2.1
104	2.0
105	2.0
106	2.0
107	2.1
108	2.3
109	2.4
110	2.5
111	2.7
112	2.8
113	3.2
114	3.3
115	3.3
116	3.3
117	3.3
118	3.2
119	3.2
120	3.2
121	3.2
122	3.2
123	3.5
124	3.7
125	4.0
126	4.0
127	4.1
128	4.5
129	4.7
130	4.7
131	4.5
132	4.4
133	4.4
134	4.4
135	4.4
136	4.4
137	4.5
138	4.8
139	5.2
140	5.5
141	5.6
142	5.6
143	5.6
144	5.7
145	6.0
146	6.0
147	6.0
148	6.0
149	6.0
150	6.0
151	6.0
152	6.2
153	6.5
154	6.9
155	7.2
156	7.6
157	8.0
158	8.0
159	8.0
160	8.0
161	8.0
162	8.0
163	8.0
164	8.0
165	8.1
166	8.5
167	8.8
168	8.9
169	9.2
170	9.5
171	9.9
172	9.9
173	9.9
174	9.9
175	9.9
176	10.1
177	10.4
178	10.4
179	10.4
180	10.4
181	10.8
182	11.2
183	11.5
184	11.7
185	12.1
186	12.2
187	12.3
188	12.3
189	12.3
190	12.3
191	12.3
192	12.6
193	12.9
194	13.2
195	13.5
196	13.6
197	13.9
198	14.1
199	14.4
200	14.6
201	14.9
202	14.9
203	14.8
204	14.7
205	14.6
206	14.6
207	14.7
208	14.9
209	15.4
210	15.9
211	16.4
212	16.9
213	17.0
214	17.0
215	17.2
216	17.4
217	17.4
218	17.1
219	16.8
220	16.5
221	16.5
222	16.5
223	16.6
224	16.6
225	16.9
226	17.6
227	18.5
228	19.2
229	19.5
230	19.5
231	19.5
232	19.6
233	19.6
234	19.3
235	18.9
236	18.5
237	18.2
238	18.2
239	18.5
240	18.6
241	18.7
242	19.1
243	19.8
244	20.7
245	21.4
246	21.4
247	21.4
248	21.5
249	21.6
250	21.5
251	21.1
252	20.6
253	20.2
254	19.8
255	19.8
256	20.1
257	20.3
258	20.4
259	20.7
260	21.5
261	22.5
262	23.3
263	23.6
264	23.5
265	23.4
266	23.5
267	23.5
268	23.2
269	22.8
270	22.1
271	21.6
272	21.4
273	21.5
274	21.6
275	21.8
276	21.9
277	22.4
278	23.2
279	24.0
280	24.4
281	24.7
282	24.7
283	24.7
284	24.9
285	25.1
286	24.7
287	23.9
288	23.1
289	22.5
290	22.2
291	22.4
292	22.5
293	22.7
294	22.9
295	23.4
296	24.3
297	25.6
298	26.7
299	27.1
300	27.0
301	27.0
302	27.0
303	27.1
304	26.7
305	26.0
306	24.9
307	24.1
308	23.6
309	23.6
310	23.9
311	24.2
312	24.1
313	24.2
314	24.6
315	25.8
316	27.3
317	28.3
318	28.7
319	28.7
320	28.6
321	28.6
322	28.5
323	28.0
324	27.0
325	25.8
326	24.6
327	23.9
328	23.8
329	24.2
330	24.6
331	24.6
332	24.6
333	25.0
334	26.1
335	27.7
336	29.2
337	30.0
338	30.0
339	29.8
340	29.7
341	29.8
342	29.7
343	29.1
344	27.9
345	26.7
346	25.5
347	24.8
348	24.8
349	25.2
350	25.5
351	25.5
352	25.4
353	25.8
354	26.8
355	28.6
356	30.1
357	30.8
358	30.6
359	30.3
360	30.1
361	30.3
362	30.3
363	29.9
364	29.0
365	27.7
366	26.5
367	25.8
368	25.5
369	25.9
370	26.3
371	26.5
372	26.5
373	26.5
374	27.1
375	28.5
376	30.4
377	31.7
378	32.0
379	31.6
380	31.1
381	30.8
382	30.8
383	30.9
384	30.4
385	29.2
386	27.8
387	26.6
388	25.8
389	25.7
390	25.8
391	26.3
392	26.7
393	26.8
394	26.9
395	27.4
396	28.5
397	30.3
398	32.2
399	33.3
400	33.4
401	32.9
402	32.3
403	32.0
404	32.0
405	31.9
406	31.1
407	29.9
408	28.5
409	27.3
410	26.5
411	26.2
412	26.4
413	26.8
414	27.0
415	26.9
416	26.8
417	27.1
418	28.1
419	30.0
420	32.2
421	33.8
422	34.3
423	34.0
424	33.3
425	32.9
426	32.8
427	32.8
428	32.5
429	31.6
430	30.4
431	28.8
432	27.3
433	26.4
434	26.0
435	26.2
436	26.9
437	27.4
438	27.5
439	27.6
440	27.9
441	28.9
442	30.9
443	33.5
444	35.4
445	36.0
446	35.7
447	34.9
448	34.1
449	33.8
450	34.0
451	34.2
452	33.7
453	32.5
454	30.9
455	29.2
456	27.7
457	26.9
458	26.7
459	27.2
460	28.1
461	28.6
462	28.6
463	28.6
464	28.5
465	29.2
466	31.0
467	33.7
468	36.1
469	37.4
470	37.2
471	36.1
472	34.5
473	33.5
474	33.5
475	34.1
476	34.2
477	33.4
478	31.9
479	30.3
480	28.7
481	27.4
482	26.4
483	26.3
484	26.8
485	27.8
486	28.6
487	28.9
488	28.7
489	28.7
490	29.2
491	30.8
492	33.7
493	36.8
494	38.8
495	39.2
496	38.3
497	37.0
498	35.8
499	35.4
500	35.7
501	36.4
502	36.4
503	35.7
504	33.9
505	31.6
506	29.3
507	27.5
508	26.4
509	26.4
510	27.1
511	28.3
512	30.2
513	30.3
514	30.1
515	29.7
516	29.4
517	30.0
518	32.0
519	35.4
520	38.7
521	40.5
522	40.6
523	39.5
524	38.0
525	36.8
526	36.2
527	36.6
528	37.4
529	38.0
530	37.4
531	35.8
532	33.5
533	31.1
534	28.9
535	27.4
536	26.7
537	27.1
538	28.3
539	29.9
540	31.0
541	31.4
542	31.1
543	30.5
544	30.1
545	30.8
546	32.8
547	36.0
548	39.7
549	42.3
550	42.9
551	42.0
552	40.3
553	38.4
554	37.1
555	36.7
556	37.4
557	38.6
558	39.3
559	38.6
560	36.7
561	34.1
562	31.5
563	29.2
564	27.6
565	26.7
566	26.6
567	27.5
568	29.1
569	30.8
570	31.8
571	32.1
572	31.7
573	31.3
574	31.0
575	31.6
576	33.4
577	36.7
578	40.7
579	43.8
580	44.8
581	44.0
582	42.1
583	40.0
584	38.2
585	37.1
586	37.0
587	38.0
588	39.2
589	39.7
590	38.6
591	36.5
592	33.7
593	31.1
594	28.8
595	27.2
596	26.2
597	25.8
598	26.5
599	28.1
600	30.1
601	31.8
602	32.6
603	32.7
604	32.3
605	31.8
606	31.5
607	31.9
608	33.4
609	36.4
610	40.4
611	44.3
612	46.4
613	46.5
614	44.9
615	42.8
616	40.5
617	38.7
618	37.6
619	37.7
620	38.8
621	40.3
622	40.8
623	40.0
624	38.0
625	35.4
626	32.7
627	30.3
628	28.3
629	26.8
630	26.0
631	25.9
632	26.7
633	28.2
634	30.2
635	32.0
636	33.1
637	33.5
638	33.3
639	32.8
640	32.3
641	32.2
642	32.6
643	34.1
644	36.9
645	40.9
646	44.9
647	47.6
648	48.4
649	47.6
650	45.6
651	43.3
652	41.1
653	39.4
654	38.5
655	38.5
656	39.5
657	40.9
658	41.8
659	41.5
660	40.0
661	37.6
662	34.9
663	32.3
664	30.2
665	28.3
666	27.0
667	26.2
668	25.8
669	26.2
670	27.3
671	29.0
672	31.0
673	32.8
674	33.7
675	33.9
676	33.6
677	33.2
678	32.8
679	32.7
680	32.8
681	33.6
682	35.2
683	38.1
684	42.2
685	46.3
686	49.2
687	50.1
688	49.5
689	47.5
690	45.0
691	42.5
692	40.4
693	38.9
694	38.0
695	38.0
696	38.7
697	39.8
698	40.8
699	41.2
700	40.4
701	38.5
702	36.3
703	34.0
704	31.8
705	29.8
706	28.2
707	27.1
708	26.3
709	26.0
710	26.0
711	26.7
712	27.9
713	29.7
714	31.5
715	33.1
716	34.1
717	34.7
718	34.9
719	34.6
720	34.1
721	33.7
722	33.3
723	33.3
724	33.8
725	35.1
726	37.2
727	40.5
728	44.6
729	48.3
730	51.0
731	52.1
732	51.8
733	50.5
734	48.5
735	46.3
736	44.2
737	42.3
738	40.8
739	40.0
740	39.7
741	40.0
742	40.8
743	41.9
744	42.7
745	42.9
746	42.3
747	40.8
748	38.7
749	36.4
750	34.2
751	32.2
752	30.5
753	29.0
754	27.8
755	26.6
756	25.9
757	25.5
758	25.5
759	25.9
760	26.8
761	28.1
762	29.6
763	31.2
764	32.8
765	34.0
766	34.9
767	35.5
768	35.6
769	35.7
770	35.5
771	35.3
772	35.1
773	35.0
774	34.8
775	34.9
776	35.6
777	37.2
778	39.8
779	43.3
780	46.8
781	50.1
782	52.5
783	53.8
784	54.1
785	53.2
786	51.6
787	49.6
788	47.0
789	43.8
790	40.6
791	38.2
792	36.8
793	36.0
794	35.5
795	35.3
796	34.9
797	35.1
798	36.3
799	38.7
800	40.7
801	41.6
802	41.6
803	40.6
804	39.1
805	37.3
806	35.5
807	33.9
808	32.3
809	31.0
810	29.8
811	28.7
812	27.9
813	27.1
814	26.6
815	26.2
816	26.0
817	26.0
818	26.2
819	26.6
820	27.5
821	28.6
822	29.9
823	31.2
824	32.6
825	34.0
826	35.0
827	35.8
828	36.3
829	36.6
830	36.7
831	36.8
832	36.8
833	36.7
834	36.5
835	36.3
836	36.0
837	35.9
838	35.8
839	35.9
840	36.2
841	36.9
842	38.2
843	40.2
844	42.4
845	44.8
846	47.2
847	49.9
848	52.3
849	54.3
850	55.3
851	54.9
852	53.3
853	51.3
854	49.4
855	47.7
856	46.1
857	44.6
858	43.4
859	42.4
860	41.6
861	41.1
862	40.7
863	40.6
864	40.6
865	40.7
866	40.5
867	40.1
868	39.8
869	39.9
870	40.4
871	41.1
872	41.7
873	42.3
874	42.8
875	43.3
876	43.4
877	43.4
878	42.9
879	42.1
880	41.1
881	39.9
882	38.5
883	37.3
884	35.9
885	34.6
886	33.4
887	32.5
888	31.4
889	30.5
890	29.6
891	28.9
892	28.2
893	27.7
894	27.3
895	26.9
896	26.4
897	26.0
898	25.6
899	25.6
900	25.5
901	25.5
902	25.5
903	25.5
904	25.6
905	25.9
906	26.2
907	26.8
908	27.5
909	28.4
910	29.3
911	30.3
912	31.2
913	32.1
914	32.9
915	33.9
916	34.7
917	35.4
918	35.9
919	36.4
920	36.8
921	37.2
922	37.5
923	37.8
924	37.8
925	37.9
926	37.9
927	37.9
928	37.9
929	37.9
930	37.9
931	37.9
932	37.8
933	37.7
934	37.6
935	37.4
936	37.1
937	36.9
938	36.7
939	36.5
940	36.3
941	36.1
942	35.8
943	35.6
944	35.5
945	35.5
946	35.6
947	35.7
948	35.9
949	36.2
950	36.5
951	37.0
952	37.7
953	38.5
954	39.3
955	40.4
956	41.3
957	42.5
958	43.8
959	45.1
960	46.4
961	47.8
962	49.2
963	50.5
964	51.8
965	53.0
966	54.1
967	55.0
968	55.8
