p	I1 / %
0	0.7
1	0.7
2	0.7
3	0.7
4	0.7
5	0.7
6	0.7
7	0.7
8	0.7
9	0.7
10	0.7
11	0.7
12	0.7
13	0.7
14	0.7
15	0.7
16	0.7
17	0.7
18	0.7
19	0.7
20	0.7
21	0.7
22	0.7
23	0.7
24	0.7
25	0.7
26	0.7
27	0.7
28	0.7
29	0.7
30	0.7
31	0.8
32	0.8
33	0.8
34	0.8
35	0.8
36	0.8
37	0.8
38	0.8
39	0.8
40	0.8
41	0.8
42	0.8
43	0.8
44	0.8
45	0.8
46	0.8
47	0.8
48	0.8
49	0.8
50	0.8
51	0.8
52	0.8
53	0.8
54	0.8
55	0.8
56	0.8
57	0.8
58	0.8
59	0.8
60	0.8
61	0.8
62	0.8
63	0.8
64	0.8
65	0.8
66	0.8
67	0.8
68	0.8
69	0.8
70	0.8
71	0.8
72	0.8
73	0.8
74	0.8
75	0.8
76	0.8
77	0.8
78	0.8
79	0.8
80	0.8
81	0.8
82	0.8
83	0.8
84	0.9
85	1.0
86	1.1
87	1.2
88	1.2
89	1.2
90	1.2
91	1.2
92	1.2
93	1.3
94	1.3
95	1.5
96	1.6
97	1.6
98	1.6
99	2.0
100	2.0
101	2.0
102	2.0
103	2.0
104	2.0
105	2.0
106	2.0
107	2.0
108	2.2
109	2.4
110	2.4
111	2.6
112	2.8
113	3.2
114	3.2
115	3.2
116	3.2
117	3.2
118	3.2
119	3.2
120	3.2
121	3.2
122	3.2
123	3.3
124	3.6
125	4.0
126	4.0
127	4.0
128	4.4
129	4.6
130	4.6
131	4.4
132	4.4
133	4.4
134	4.4
135	4.4
136	4.4
137	4.4
138	4.7
139	5.1
140	5.4
141	5.6
142	5.6
143	5.6
144	5.6
145	5.8
146	5.8
147	5.8
148	5.9
149	5.9
150	5.9
151	6.0
152	6.0
153	6.4
154	6.8
155	7.2
156	7.6
157	7.9
158	7.9
159	7.9
160	8.0
161	8.0
162	8.0
163	8.0
164	7.9
165	8.0
166	8.2
167	8.6
168	8.8
169	9.0
170	9.3
171	9.6
172	9.7
173	9.7
174	9.6
175	9.6
176	9.9
177	10.2
178	10.2
179	10.2
180	10.3
181	10.7
182	11.1
183	11.3
184	11.5
185	11.8
186	11.9
187	12.0
188	12.0
189	12.0
190	12.0
191	12.0
192	12.3
193	12.7
194	12.9
195	13.2
196	13.4
197	13.6
198	13.8
199	14.1
200	14.4
201	14.4
202	14.4
203	14.4
204	14.3
205	14.2
206	14.2
207	14.3
208	14.5
209	14.9
210	15.5
211	16.2
212	16.6
213	16.7
214	16.7
215	16.8
216	16.9
217	16.9
218	16.8
219	16.4
220	16.0
221	16.0
222	16.1
223	16.1
224	16.3
225	16.7
226	17.2
227	18.1
228	18.8
229	19.1
230	19.1
231	19.1
232	19.2
233	19.2
234	18.9
235	18.4
236	17.9
237	17.6
238	17.7
239	17.9
240	18.0
241	18.2
242	18.6
243	19.4
244	20.2
245	20.9
246	21.0
247	21.0
248	21.0
249	21.1
250	21.0
251	20.6
252	20.0
253	19.6
254	19.2
255	19.2
256	19.5
257	19.8
258	19.9
259	20.3
260	21.1
261	22.1
262	22.8
263	23.1
264	23.1
265	23.1
266	23.1
267	23.1
268	22.7
269	22.2
270	21.5
271	21.0
272	20.7
273	20.8
274	20.9
275	21.2
276	21.4
277	22.0
278	22.7
279	23.5
280	24.0
281	24.2
282	24.2
283	24.2
284	24.4
285	24.5
286	24.1
287	23.4
288	22.5
289	21.8
290	21.5
291	21.7
292	21.9
293	22.2
294	22.4
295	22.9
296	23.8
297	25.1
298	26.2
299	26.6
300	26.5
301	26.5
302	26.5
303	26.5
304	26.1
305	25.4
306	24.2
307	23.4
308	22.9
309	22.9
310	23.1
311	23.4
312	23.4
313	23.6
314	24.2
315	25.4
316	26.8
317	27.8
318	28.2
319	28.2
320	28.1
321	28.1
322	28.0
323	27.4
324	26.3
325	25.0
326	23.9
327	23.3
328	23.1
329	23.5
330	23.9
331	24.0
332	24.0
333	24.4
334	25.6
335	27.2
336	28.6
337	29.4
338	29.5
339	29.3
340	29.3
341	29.3
342	29.1
343	28.4
344	27.2
345	26.0
346	24.7
347	24.0
348	23.9
349	24.3
350	24.7
351	24.7
352	24.7
353	25.1
354	26.2
355	27.9
356	29.4
357	30.2
358	30.0
359	29.7
360	29.6
361	29.8
362	29.8
363	29.4
364	28.3
365	27.0
366	25.8
367	25.0
368	24.7
369	25.1
370	25.5
371	25.8
372	25.8
373	26.0
374	26.6
375	28.0
376	29.7
377	31.0
378	31.3
379	31.0
380	30.5
381	30.3
382	30.3
383	30.3
384	29.8
385	28.6
386	27.1
387	25.9
388	25.1
389	24.9
390	25.0
391	25.4
392	25.9
393	26.2
394	26.4
395	26.8
396	27.9
397	29.7
398	31.5
399	32.6
400	32.7
401	32.3
402	31.8
403	31.6
404	31.6
405	31.3
406	30.5
407	29.3
408	27.8
409	26.6
410	25.8
411	25.4
412	25.5
413	25.9
414	26.2
415	26.2
416	26.2
417	26.6
418	27.6
419	29.3
420	31.4
421	33.0
422	33.6
423	33.4
424	32.8
425	32.4
426	32.4
427	32.4
428	32.0
429	30.9
430	29.5
431	28.0
432	26.5
433	25.6
434	25.1
435	25.2
436	26.1
437	26.6
438	26.9
439	26.9
440	27.3
441	28.3
442	30.3
443	32.7
444	34.5
445	35.3
446	35.1
447	34.3
448	33.5
449	33.3
450	33.5
451	33.5
452	32.9
453	31.7
454	30.0
455	28.3
456	26.8
457	26.0
458	25.7
459	26.2
460	27.1
461	27.8
462	28.0
463	28.0
464	27.9
465	28.6
466	30.3
467	33.0
468	35.4
469	36.6
470	36.5
471	35.4
472	34.0
473	33.1
474	33.1
475	33.6
476	33.6
477	32.6
478	31.1
479	29.4
480	27.8
481	26.4
482	25.5
483	25.3
484	25.8
485	26.8
486	27.7
487	28.1
488	28.1
489	28.1
490	28.5
491	30.2
492	32.9
493	36.0
494	38.0
495	38.4
496	37.6
497	36.4
498	35.3
499	34.9
500	35.3
501	35.9
502	35.8
503	34.8
504	33.0
505	30.7
506	28.3
507	26.6
508	25.5
509	25.4
510	26.0
511	27.3
512	29.2
513	29.5
514	29.5
515	29.1
516	28.8
517	29.3
518	31.2
519	34.6
520	37.8
521	39.8
522	39.9
523	38.8
524	37.3
525	36.2
526	35.8
527	36.2
528	37.0
529	37.4
530	36.6
531	34.9
532	32.5
533	30.1
534	28.0
535	26.5
536	25.8
537	26.0
538	27.2
539	28.7
540	30.0
541	30.5
542	30.2
543	29.8
544	29.5
545	30.1
546	32.0
547	35.2
548	38.8
549	41.5
550	42.1
551	41.4
552	39.6
553	37.8
554	36.6
555	36.3
556	37.1
557	38.2
558	38.6
559	37.7
560	35.6
561	33.0
562	30.4
563	28.3
564	26.7
565	25.7
566	25.6
567	26.4
568	27.9
569	29.7
570	30.9
571	31.3
572	30.9
573	30.5
574	30.3
575	30.9
576	32.6
577	35.9
578	39.9
579	43.0
580	44.1
581	43.3
582	41.4
583	39.4
584	37.7
585	36.7
586	36.7
587	37.7
588	38.8
589	39.0
590	37.7
591	35.4
592	32.6
593	30.0
594	27.9
595	26.2
596	25.2
597	24.8
598	25.4
599	26.8
600	28.8
601	30.6
602	31.6
603	31.8
604	31.5
605	31.1
606	30.8
607	31.2
608	32.7
609	35.7
610	39.6
611	43.5
612	45.6
613	45.7
614	44.2
615	42.1
616	39.9
617	38.1
618	37.2
619	37.4
620	38.5
621	39.9
622	40.2
623	39.2
624	37.0
625	34.3
626	31.7
627	29.3
628	27.3
629	25.8
630	24.9
631	24.8
632	25.5
633	26.8
634	28.7
635	30.6
636	31.8
637	32.4
638	32.3
639	32.0
640	31.6
641	31.6
642	32.0
643	33.4
644	36.2
645	40.2
646	44.1
647	46.9
648	47.6
649	46.8
650	44.8
651	42.5
652	40.5
653	38.8
654	38.0
655	38.3
656	39.3
657	40.6
658	41.3
659	40.8
660	38.9
661	36.4
662	33.6
663	31.2
664	29.0
665	27.3
666	26.0
667	25.2
668	24.8
669	25.0
670	25.9
671	27.5
672	29.5
673	31.3
674	32.5
675	32.9
676	32.7
677	32.5
678	32.1
679	32.1
680	32.3
681	33.0
682	34.6
683	37.5
684	41.6
685	45.6
686	48.4
687	49.4
688	48.7
689	46.8
690	44.2
691	41.7
692	39.7
693	38.4
694	37.6
695	37.6
696	38.4
697	39.6
698	40.5
699	40.5
700	39.4
701	37.5
702	35.1
703	32.7
704	30.6
705	28.7
706	27.2
707	26.1
708	25.4
709	25.0
710	25.0
711	25.4
712	26.4
713	28.0
714	29.9
715	31.5
716	32.8
717	33.6
718	33.9
719	33.8
720	33.4
721	33.0
722	32.6
723	32.7
724	33.2
725	34.5
726	36.6
727	40.0
728	43.9
729	47.6
730	50.2
731	51.3
732	51.0
733	49.7
734	47.7
735	45.5
736	43.4
737	41.6
738	40.2
739	39.5
740	39.3
741	39.8
742	40.7
743	41.8
744	42.4
745	42.4
746	41.4
747	39.7
748	37.5
749	35.1
750	32.9
751	31.0
752	29.3
753	27.9
754	26.7
755	25.7
756	24.9
757	24.5
758	24.3
759	24.6
760	25.4
761	26.5
762	27.9
763	29.5
764	31.2
765	32.7
766	33.8
767	34.6
768	34.9
769	34.9
770	34.8
771	34.7
772	34.5
773	34.4
774	34.3
775	34.6
776	35.3
777	36.8
778	39.4
779	42.7
780	46.3
781	49.5
782	51.7
783	53.1
784	53.2
785	52.4
786	50.7
787	48.7
788	46.1
789	43.0
790	39.8
791	37.4
792	36.1
793	35.5
794	35.0
795	35.0
796	34.9
797	35.2
798	36.5
799	38.6
800	40.4
801	41.1
802	40.6
803	39.5
804	37.8
805	36.0
806	34.2
807	32.5
808	31.0
809	29.8
810	28.6
811	27.5
812	26.7
813	26.0
814	25.5
815	25.1
816	24.8
817	24.7
818	24.7
819	25.1
820	25.8
821	26.8
822	28.0
823	29.4
824	30.9
825	32.4
826	33.6
827	34.6
828	35.2
829	35.6
830	35.8
831	35.9
832	36.0
833	36.0
834	35.9
835	35.7
836	35.6
837	35.5
838	35.5
839	35.5
840	35.8
841	36.6
842	37.8
843	39.7
844	41.8
845	44.2
846	46.5
847	49.1
848	51.5
849	53.5
850	54.4
851	54.0
852	52.4
853	50.5
854	48.5
855	46.8
856	45.2
857	43.7
858	42.5
859	41.4
860	40.7
861	40.2
862	39.9
863	39.8
864	40.0
865	40.2
866	40.1
867	39.8
868	39.7
869	40.0
870	40.5
871	41.2
872	41.8
873	42.3
874	42.6
875	42.8
876	42.7
877	42.4
878	41.8
879	40.8
880	39.6
881	38.4
882	37.1
883	35.8
884	34.4
885	33.2
886	32.1
887	31.1
888	30.1
889	29.3
890	28.4
891	27.6
892	27.0
893	26.6
894	26.2
895	25.7
896	25.3
897	24.9
898	24.5
899	24.3
900	24.2
901	24.1
902	24.0
903	24.0
904	24.1
905	24.2
906	24.5
907	25.0
908	25.6
909	26.4
910	27.3
911	28.4
912	29.2
913	30.2
914	31.1
915	32.2
916	33.1
917	33.9
918	34.6
919	35.1
920	35.6
921	35.9
922	36.3
923	36.7
924	36.7
925	36.9
926	36.9
927	37.0
928	37.0
929	37.1
930	37.0
931	37.0
932	37.0
933	37.0
934	36.9
935	36.8
936	36.6
937	36.5
938	36.3
939	36.2
940	36.0
941	35.8
942	35.5
943	35.4
944	35.3
945	35.4
946	35.4
947	35.5
948	35.6
949	35.9
950	36.2
951	36.7
952	37.4
953	38.2
954	39.0
955	40.0
956	41.0
957	42.1
958	43.3
959	44.5
960	45.9
961	47.2
962	48.5
963	49.9
964	51.1
965	52.3
966	53.4
967	54.3
968	55.0
