n	a	da	b	db	c	dc	order	m	s	ds	I	alpha	dalpha	gang	dgang	gang0	dgang0	lambda0	gang-	dgang-	gang+	dgang+	deltagang-	ddeltagang-	deltagang+	ddeltagang+	deltalambda-	ddeltalambda-	deltalambda+	ddeltalambda+	deltaE-	ddeltaE-	deltaE+	ddeltaE+	a	b	c	B	dB	B2
56	65.0908	0.661405	1063.61	0.908542	39.599	1.33084	1	0	33.63229397	1.130311425	7.5	-0.003696933	8.47973E-05	0.011655962	1.72129E-09	0.011655962	1.72129E-09	6.43798E-07	#	#	0.011655744	2.06261E-09	#WERT!	#WERT!	-2.18271E-07	2.68649E-09	#WERT!	#WERT!	-1.20558E-11	-1.52997E-13	#WERT!	#WERT!	-5.77794E-24	-7.11152E-26	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
57	31.8436	0.997837	1127.42	0.416964	17.1191	0.66893	1	1	14.53962483	0.568136832	7.5	-0.009652533	3.89166E-05	0.011655744	2.06261E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
58	43.5807	0.342122	1168.81	0.324144	16.7333	0.734303	2	-1	14.21195648	0.623659546	7.5	-0.0135156	3.02534E-05	0.011655498	2.24522E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
59	46.1835	2.43014	1194.05	0.220252	8.66618	0.313298	2	0	7.360375599	0.266090821	7.5	-0.015871333	2.05569E-05	0.011655308	1.79154E-09	0.011655308	1.79154E-09	6.43762E-07	0.011655498	2.24522E-09	0.011655101	4.06605E-09	1.90065E-07	2.87239E-09	-2.07047E-07	4.44324E-09	1.0498E-11	1.61941E-13	-1.14359E-11	-2.47951E-13	5.03159E-24	7.60406E-26	-5.48113E-24	-1.17625E-25	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
60	40.1569	0.368355	1217.84	0.438522	15.5039	0.800114	2	1	13.16780026	0.679554263	7.5	-0.018091733	4.09287E-05	0.011655101	4.06605E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
61	44.3432	0.594238	827.832	0.504399	-18.1301	1.08696	-2	-1	15.39828917	0.923178824	7.8	0.018309013	4.70772E-05	0.01165508	4.73305E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
62	31.74	2.31542	851.42	0.229708	7.49567	0.375024	-2	0	6.366235939	0.318516059	7.8	0.016107467	2.14394E-05	0.011655288	1.89626E-09	0.011655288	1.89626E-09	6.43761E-07	0.01165508	4.73305E-09	0.011655473	2.96586E-09	-2.0803E-07	5.09878E-09	1.85197E-07	3.52024E-09	-1.14902E-11	-2.83856E-13	1.0229E-11	1.96992E-13	-5.50716E-24	-1.3498E-25	4.90271E-24	9.31913E-26	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
63	50.5466	0.400049	875.54	0.417655	20.4363	1.05629	-2	1	17.35699511	0.897130124	7.8	0.013856267	3.89811E-05	0.011655473	2.96586E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
64	35.0287	1.26995	920.192	0.501846	17.0196	0.671727	-1	-1	14.45511731	0.570512385	7.8	0.009688747	4.6839E-05	0.011655742	2.49181E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
65	67.6685	0.890704	981.874	0.929589	38.0357	1.29552	-1	0	32.3045492	1.100313379	7.8	0.00393176	8.67616E-05	0.011655958	1.87304E-09	0.011655958	1.87304E-09	6.43798E-07	0.011655742	2.49181E-09	#	#	-2.15275E-07	3.11727E-09	#WERT!	#WERT!	-1.18904E-11	-1.76062E-13	#WERT!	#WERT!	-5.69865E-24	-8.25187E-26	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
66	67.8515	0.754651	1063.39	0.950983	39.3492	1.38253	1	0	33.42013338	1.174212869	7.8	-0.0036764	8.87584E-05	0.011655963	1.7917E-09	0.011655963	1.7917E-09	6.43798E-07	#	#	0.011655742	2.13211E-09	#WERT!	#WERT!	-2.21265E-07	2.78497E-09	#WERT!	#WERT!	-1.22212E-11	-1.584E-13	#WERT!	#WERT!	-5.85721E-24	-7.37221E-26	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
67	34.3721	1.05001	1127.94	0.428857	17.7094	0.709623	1	1	15.04097949	0.602698284	7.8	-0.009701067	4.00267E-05	0.011655742	2.13211E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
68	45.4338	0.39049	1168.22	0.311988	15.9236	0.694315	2	-1	13.52426062	0.589696866	7.8	-0.013460533	2.91189E-05	0.011655503	2.15222E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
69	50.1631	2.51562	1193.75	0.224523	-8.91013	0.316722	2	0	7.567567652	0.268998899	7.8	-0.015843333	2.09555E-05	0.011655311	1.82306E-09	0.011655311	1.82306E-09	6.43762E-07	0.011655503	2.15222E-09	0.011655098	4.17733E-09	1.91706E-07	2.82056E-09	-2.12919E-07	4.5578E-09	1.05886E-11	1.59195E-13	-1.17602E-11	-2.54357E-13	5.07501E-24	7.46685E-26	-5.63658E-24	-1.20658E-25	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
70	42.1569	0.387785	1218.21	0.449665	15.7885	0.863315	2	1	13.40951724	0.73323225	7.8	-0.018126267	4.19687E-05	0.011655098	4.17733E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.94256	145.7846667	-108.1534667	0.60896	0.098665101	0.606581583
71	46.3447	0.509655	827.661	0.470755	17.8959	1.09776	-2	-1	15.19937801	0.932351499	8.1	0.018324973	4.39371E-05	0.011655078	4.4212E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
72	35.3236	2.86218	851.697	0.251792	8.04204	0.406736	-2	0	6.830279891	0.345449752	8.1	0.016081613	2.35006E-05	0.01165529	2.07523E-09	0.01165529	2.07523E-09	6.43761E-07	0.011655078	4.4212E-09	0.011655477	2.73956E-09	-2.1192E-07	4.88401E-09	1.87475E-07	3.43682E-09	-1.1705E-11	-2.72179E-13	1.03549E-11	1.9251E-13	-5.61014E-24	-1.29294E-25	4.96303E-24	9.09829E-26	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
73	51.7416	0.394986	876.184	0.387468	19.5183	1.04732	-2	1	16.57731769	0.889511708	8.1	0.01379616	3.61637E-05	0.011655477	2.73956E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
74	36.7468	1.34075	919.753	0.538484	17.4378	0.73076	-1	-1	14.81030369	0.620650399	8.1	0.00972972	5.02585E-05	0.01165574	2.68504E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
75	69.1708	0.985701	982.084	0.988512	38.0917	1.3739	-1	0	32.35211122	1.166883221	8.1	0.00391216	9.22611E-05	0.011655958	1.98183E-09	0.011655958	1.98183E-09	6.43798E-07	0.01165574	2.68504E-09	#	#	-2.17882E-07	3.33723E-09	#WERT!	#WERT!	-1.20343E-11	-1.88047E-13	#WERT!	#WERT!	-5.76765E-24	-8.83412E-26	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
76	69.563	0.849667	1063.12	1.01673	39.3213	1.4418	1	0	33.39643731	1.224552172	8.1	-0.0036512	9.48948E-05	0.011655963	1.90244E-09	0.011655963	1.90244E-09	6.43798E-07	#	#	0.011655741	2.19794E-09	#WERT!	#WERT!	-2.22319E-07	2.90692E-09	#WERT!	#WERT!	-1.22794E-11	-1.6499E-13	#WERT!	#WERT!	-5.88511E-24	-7.69505E-26	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
77	35.9677	1.10244	1128.05	0.441632	17.8786	0.73186	1	1	15.18468474	0.621584653	8.1	-0.009711333	4.1219E-05	0.011655741	2.19794E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
78	46.5887	0.430544	1167.8	0.3148	15.7024	0.695467	2	-1	13.33639064	0.590675284	8.1	-0.013421333	2.93813E-05	0.011655505	2.16529E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
79	52.3572	2.55288	1193.54	0.226993	9.02786	0.31945	2	0	7.667558308	0.271315849	8.1	-0.015823733	2.1186E-05	0.011655313	1.84083E-09	0.011655313	1.84083E-09	6.43762E-07	0.011655505	2.16529E-09	0.011655096	4.11233E-09	1.92895E-07	2.84203E-09	-2.16668E-07	4.50555E-09	1.06542E-11	1.60397E-13	-1.19673E-11	-2.51594E-13	5.10649E-24	7.52369E-26	-5.73583E-24	-1.19275E-25	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
80	43.5912	0.402399	1218.43	0.442168	15.8954	0.883357	2	1	13.50030974	0.750254358	8.1	-0.0181468	4.1269E-05	0.011655096	4.11233E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.067266667	148.0067778	-119.2523111	0.6194975	0.101985073	0.615919223
81	47.8795	0.478622	827.212	0.443963	17.6262	1.1011	-2	-1	14.97031592	0.935188234	8.4	0.01836688	4.14365E-05	0.011655074	4.17911E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
82	38.5479	3.33642	851.976	0.273361	8.55591	0.433752	-2	0	7.266720884	0.36839503	8.4	0.016055573	2.55137E-05	0.011655292	2.24934E-09	0.011655292	2.24934E-09	6.43761E-07	0.011655074	4.17911E-09	0.011655482	2.77909E-09	-2.18439E-07	4.746E-09	1.89827E-07	3.57532E-09	-1.20651E-11	-2.64781E-13	1.04848E-11	2.00122E-13	-5.78273E-24	-1.25641E-25	5.02528E-24	9.46493E-26	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
83	52.2805	0.407569	876.843	0.39482	19.067	1.10307	-2	1	16.19401877	0.936861398	8.4	0.013734653	3.68499E-05	0.011655482	2.77909E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
84	38.2307	1.42404	919.486	0.584402	17.6716	0.773429	-1	-1	15.00887513	0.656890111	8.4	0.00975464	5.45442E-05	0.011655739	2.92146E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
85	70.5172	1.01235	982.67	1.02937	38.3205	1.42625	-1	0	32.54643605	1.211345218	8.4	0.003857467	9.60745E-05	0.011655959	2.0349E-09	0.011655959	2.0349E-09	6.43798E-07	0.011655739	2.92146E-09	#	#	-2.20382E-07	3.5603E-09	#WERT!	#WERT!	-1.21724E-11	-2.00219E-13	#WERT!	#WERT!	-5.83382E-24	-9.42463E-26	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
86	70.6209	0.953517	1063.09	1.04716	38.8562	1.45079	1	0	33.00141774	1.232187575	8.4	-0.0036484	9.77349E-05	0.011655963	1.95787E-09	0.011655963	1.95787E-09	6.43798E-07	#	#	0.011655739	2.22991E-09	#WERT!	#WERT!	-2.2407E-07	2.96745E-09	#WERT!	#WERT!	-1.23761E-11	-1.68313E-13	#WERT!	#WERT!	-5.93146E-24	-7.85527E-26	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
87	37.8303	1.10571	1128.39	0.446596	18.2646	0.746317	1	1	15.51252295	0.633863298	8.4	-0.009743067	4.16823E-05	0.011655739	2.22991E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
88	47.174	0.501739	1167.38	0.313046	15.2633	0.674318	2	-1	12.96345343	0.572712978	8.4	-0.013382133	2.92176E-05	0.011655508	2.14694E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
89	54.8166	2.47804	1193.32	0.226677	9.19792	0.31737	2	0	7.811993973	0.26954926	8.4	-0.0158032	2.11565E-05	0.011655314	1.83588E-09	0.011655314	1.83588E-09	6.43762E-07	0.011655508	2.14694E-09	0.011655092	3.93755E-09	1.93996E-07	2.82485E-09	-2.22081E-07	4.34451E-09	1.07151E-11	1.59507E-13	-1.22663E-11	-2.42943E-13	5.13565E-24	7.47821E-26	-5.87914E-24	-1.15012E-25	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
90	44.7114	0.410544	1218.82	0.422527	15.9556	0.894821	2	1	13.55143892	0.759990983	8.4	-0.0181832	3.94359E-05	0.011655092	3.93755E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.191973333	150.2288889	-130.3511556	0.62882	0.10539134	0.624105873
91	48.6808	0.464019	826.953	0.435262	-17.3216	1.09135	-2	-1	14.7116125	0.926907347	8.5	0.018391053	4.06245E-05	0.011655071	4.1026E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
92	40.8743	3.56628	852.015	0.283909	8.8099	0.442749	-2	0	7.482440128	0.376036378	8.5	0.016051933	2.64982E-05	0.011655293	2.33561E-09	0.011655293	2.33561E-09	6.43761E-07	0.011655071	4.1026E-09	0.011655484	2.82096E-09	-2.212E-07	4.72085E-09	1.91292E-07	3.66236E-09	-1.22176E-11	-2.63472E-13	1.05657E-11	2.04907E-13	-5.85581E-24	-1.24975E-25	5.06407E-24	9.69536E-26	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
93	52.6448	0.439247	877.097	0.401461	18.7134	1.11208	-2	1	15.89369858	0.944513788	8.5	0.013710947	3.74697E-05	0.011655484	2.82096E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
94	39.2747	1.44171	919.239	0.599965	17.837	0.795047	-1	-1	15.14935295	0.675250749	8.5	0.009777693	5.59967E-05	0.011655738	3.00635E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
95	70.8515	1.10113	982.363	1.04293	37.9556	1.42741	-1	0	32.23651852	1.212330431	8.5	0.00388612	9.73401E-05	0.011655959	2.07702E-09	0.011655959	2.07702E-09	6.43798E-07	0.011655738	3.00635E-09	#	#	-2.21009E-07	3.65406E-09	#WERT!	#WERT!	-1.22071E-11	-2.05327E-13	#WERT!	#WERT!	-5.85042E-24	-9.67282E-26	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
96	71.5573	0.941165	1062.65	1.07351	39.2689	1.49637	1	0	33.35193284	1.270899662	8.5	-0.003607333	0.000100194	0.011655964	1.98454E-09	0.011655964	1.98454E-09	6.43798E-07	#	#	0.011655738	2.29433E-09	#WERT!	#WERT!	-2.26088E-07	3.03354E-09	#WERT!	#WERT!	-1.24876E-11	-1.71947E-13	#WERT!	#WERT!	-5.98487E-24	-8.03021E-26	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
97	38.3556	1.13846	1128.63	0.458443	18.3834	0.764825	1	1	15.61342238	0.649582546	8.5	-0.009765467	4.2788E-05	0.011655738	2.29433E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
98	47.4932	0.545388	1167.17	0.316284	15.0695	0.672356	2	-1	12.79885487	0.571046608	8.5	-0.013362533	2.95198E-05	0.01165551	2.16597E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
99	55.9936	2.47571	1193.21	0.22898	9.2934	0.320573	2	0	7.893087219	0.272269637	8.5	-0.015792933	2.13715E-05	0.011655315	1.85333E-09	0.011655315	1.85333E-09	6.43762E-07	0.01165551	2.16597E-09	0.011655091	3.8961E-09	1.94545E-07	2.85066E-09	-2.2465E-07	4.31444E-09	1.07454E-11	1.60921E-13	-1.24082E-11	-2.41372E-13	5.15017E-24	7.54652E-26	-5.94715E-24	-1.14216E-25	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
100	45.3822	0.417133	1219	0.417693	16.0113	0.910278	2	1	13.59874614	0.77311895	8.5	-0.0182	3.89847E-05	0.011655091	3.8961E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-7.31668	152.451	-141.45	0.6316575	0.106545866	0.62575337
