n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	1
19	0
20	0
21	0
22	0
23	1
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	1
33	0
34	1
35	4
36	6
37	3
38	7
39	6
40	6
41	11
42	9
43	11
44	8
45	17
46	8
47	6
48	11
49	4
50	10
51	10
52	5
53	13
54	8
55	9
56	12
57	14
58	12
59	3
60	8
61	9
62	15
63	9
64	10
65	9
66	6
67	16
68	13
69	11
70	11
71	13
72	11
73	15
74	8
75	12
76	17
77	17
78	17
79	14
80	12
81	17
82	10
83	17
84	19
85	20
86	11
87	12
88	19
89	14
90	24
91	12
92	24
93	23
94	18
95	21
96	24
97	16
98	22
99	20
100	39
101	26
102	27
103	30
104	54
105	40
106	40
107	43
108	42
109	36
110	48
111	47
112	38
113	39
114	41
115	40
116	41
117	57
118	67
119	79
120	116
121	183
122	294
123	530
124	841
125	1169
126	1543
127	1736
128	1915
129	1820
130	1664
131	1511
132	1422
133	1420
134	1348
135	1464
136	1456
137	1439
138	1288
139	1089
140	933
141	797
142	625
143	491
144	347
145	293
146	219
147	141
148	131
149	120
150	80
151	83
152	64
153	50
154	40
155	24
156	16
157	22
158	12
159	6
160	9
161	5
162	5
163	2
164	3
165	3
166	0
167	1
168	3
169	1
170	4
171	5
172	1
173	4
174	2
175	1
176	1
177	2
178	3
179	3
180	1
181	3
182	2
183	1
184	5
185	2
186	1
187	6
188	7
189	5
190	6
191	8
192	3
193	9
194	4
195	7
196	5
197	12
198	10
199	4
200	3
201	15
202	6
203	7
204	8
205	3
206	6
207	4
208	4
209	2
210	2
211	2
212	3
213	4
214	4
215	1
216	6
217	3
218	4
219	1
220	0
221	1
222	0
223	0
224	0
225	1
226	1
227	1
228	1
229	3
230	2
231	1
232	5
233	1
234	2
235	4
236	1
237	4
238	1
239	1
240	1
241	1
242	3
243	2
244	0
245	3
246	3
247	3
248	1
249	4
250	3
251	5
252	4
253	3
254	3
255	4
256	0
257	2
258	1
259	0
260	0
261	2
262	0
263	1
264	2
265	0
266	1
267	0
268	1
269	1
270	1
271	1
272	0
273	0
274	0
275	1
276	0
277	1
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	1
286	0
287	0
288	0
289	0
290	0
291	0
292	1
293	0
294	0
295	1
296	1
297	0
298	1
299	1
300	0
301	0
302	2
303	0
304	0
305	0
306	0
307	0
308	1
309	2
310	0
311	0
312	1
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	1
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	1
341	1
342	0
343	0
344	0
345	1
346	0
347	0
348	0
349	0
350	1
351	0
352	0
353	0
354	0
355	1
356	0
357	0
358	0
359	0
360	1
361	0
362	0
363	0
364	0
365	0
366	0
367	1
368	0
369	0
370	0
371	1
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	1
388	1
389	0
390	1
391	0
392	0
393	0
394	0
395	0
396	0
397	1
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	1
423	0
424	1
425	0
426	0
427	1
428	0
429	0
430	0
431	1
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
