n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	2
25	1
26	2
27	0
28	0
29	3
30	5
31	4
32	5
33	7
34	10
35	10
36	14
37	7
38	12
39	14
40	19
41	22
42	28
43	22
44	26
45	26
46	24
47	25
48	25
49	25
50	29
51	30
52	31
53	23
54	25
55	34
56	29
57	32
58	33
59	42
60	39
61	28
62	47
63	42
64	42
65	41
66	35
67	39
68	46
69	35
70	43
71	56
72	45
73	55
74	54
75	49
76	63
77	73
78	59
79	75
80	110
81	130
82	187
83	325
84	444
85	686
86	890
87	1035
88	1159
89	1156
90	1094
91	980
92	905
93	826
94	771
95	813
96	811
97	1076
98	1492
99	2008
100	2808
101	3495
102	4304
103	4541
104	4700
105	4142
106	3658
107	3007
108	2617
109	2122
110	1830
111	1515
112	1274
113	1116
114	922
115	792
116	658
117	565
118	454
119	425
120	348
121	268
122	193
123	144
124	139
125	95
126	71
127	67
128	59
129	54
130	49
131	40
132	40
133	40
134	37
135	29
136	26
137	30
138	24
139	23
140	18
141	22
142	20
143	22
144	26
145	19
146	27
147	27
148	27
149	24
150	19
151	30
152	34
153	44
154	28
155	29
156	31
157	38
158	30
159	25
160	22
161	22
162	19
163	22
164	18
165	16
166	9
167	9
168	15
169	12
170	16
171	14
172	9
173	6
174	11
175	7
176	11
177	11
178	10
179	14
180	10
181	10
182	17
183	7
184	4
185	5
186	5
187	11
188	5
189	6
190	7
191	3
192	11
193	9
194	8
195	8
196	10
197	7
198	7
199	6
200	11
201	0
202	2
203	5
204	6
205	8
206	3
207	0
208	7
209	4
210	1
211	5
212	2
213	0
214	3
215	1
216	1
217	0
218	2
219	0
220	0
221	1
222	1
223	2
224	3
225	0
226	0
227	1
228	0
229	1
230	0
231	3
232	1
233	2
234	0
235	0
236	1
237	1
238	1
239	1
240	0
241	0
242	1
243	0
244	0
245	0
246	1
247	1
248	0
249	0
250	1
251	0
252	1
253	1
254	2
255	2
256	0
257	1
258	1
259	0
260	2
261	2
262	1
263	1
264	1
265	1
266	1
267	0
268	2
269	0
270	0
271	1
272	0
273	0
274	1
275	0
276	0
277	2
278	0
279	0
280	0
281	2
282	0
283	0
284	1
285	0
286	0
287	0
288	1
289	0
290	1
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	1
302	1
303	0
304	0
305	1
306	0
307	1
308	1
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	1
321	0
322	0
323	0
324	1
325	0
326	0
327	0
328	0
329	0
330	0
331	1
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	1
341	1
342	0
343	0
344	0
345	0
346	0
347	0
348	1
349	0
350	0
351	1
352	0
353	0
354	0
355	0
356	0
357	1
358	0
359	0
360	0
361	0
362	1
363	0
364	0
365	1
366	1
367	1
368	1
369	0
370	0
371	0
372	1
373	0
374	0
375	2
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	1
416	0
417	0
418	1
419	1
420	0
421	0
422	0
423	0
424	1
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	1
457	0
458	0
459	0
460	0
461	0
462	0
463	1
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
