n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	1
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	1
33	2
34	1
35	2
36	1
37	3
38	3
39	1
40	0
41	4
42	3
43	3
44	3
45	2
46	2
47	4
48	2
49	1
50	4
51	4
52	2
53	3
54	3
55	2
56	4
57	2
58	5
59	5
60	6
61	3
62	2
63	9
64	6
65	3
66	6
67	1
68	3
69	3
70	6
71	6
72	3
73	3
74	6
75	5
76	12
77	4
78	12
79	7
80	4
81	5
82	5
83	5
84	8
85	4
86	5
87	6
88	7
89	7
90	9
91	6
92	14
93	10
94	12
95	16
96	17
97	13
98	17
99	22
100	25
101	30
102	47
103	49
104	53
105	50
106	53
107	43
108	48
109	41
110	40
111	32
112	45
113	38
114	35
115	39
116	30
117	49
118	61
119	67
120	82
121	164
122	271
123	462
124	712
125	1045
126	1402
127	1658
128	1746
129	1603
130	1499
131	1421
132	1307
133	1345
134	1363
135	1409
136	1515
137	1347
138	1302
139	1107
140	967
141	820
142	633
143	511
144	380
145	294
146	188
147	166
148	119
149	104
150	93
151	97
152	67
153	53
154	29
155	39
156	35
157	22
158	15
159	20
160	9
161	12
162	15
163	9
164	17
165	13
166	7
167	12
168	9
169	4
170	5
171	6
172	3
173	9
174	0
175	2
176	0
177	1
178	4
179	1
180	3
181	1
182	2
183	2
184	0
185	4
186	4
187	2
188	4
189	7
190	8
191	8
192	13
193	19
194	16
195	8
196	10
197	6
198	10
199	7
200	8
201	8
202	6
203	1
204	8
205	7
206	2
207	3
208	5
209	2
210	2
211	5
212	3
213	2
214	3
215	1
216	4
217	1
218	1
219	1
220	0
221	4
222	2
223	4
224	4
225	5
226	1
227	4
228	1
229	1
230	1
231	0
232	6
233	3
234	1
235	1
236	1
237	2
238	2
239	0
240	0
241	1
242	2
243	0
244	1
245	2
246	1
247	0
248	2
249	2
250	2
251	2
252	2
253	3
254	1
255	0
256	5
257	2
258	2
259	1
260	2
261	0
262	1
263	2
264	0
265	1
266	0
267	0
268	0
269	0
270	0
271	1
272	1
273	1
274	1
275	0
276	0
277	0
278	1
279	0
280	0
281	0
282	0
283	0
284	0
285	2
286	1
287	0
288	0
289	0
290	0
291	1
292	1
293	1
294	0
295	0
296	0
297	1
298	1
299	0
300	0
301	0
302	1
303	0
304	0
305	0
306	0
307	0
308	0
309	1
310	0
311	0
312	2
313	1
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	1
322	0
323	1
324	0
325	0
326	0
327	0
328	1
329	0
330	0
331	1
332	1
333	0
334	0
335	0
336	0
337	2
338	0
339	0
340	0
341	1
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	1
352	1
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	1
361	0
362	0
363	1
364	0
365	0
366	0
367	0
368	0
369	3
370	0
371	0
372	0
373	0
374	0
375	0
376	1
377	1
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	1
391	1
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	1
402	0
403	1
404	0
405	0
406	1
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	1
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
