n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	3
33	1
34	3
35	4
36	2
37	2
38	6
39	6
40	8
41	4
42	3
43	3
44	6
45	5
46	5
47	8
48	8
49	8
50	18
51	29
52	33
53	55
54	88
55	108
56	126
57	157
58	181
59	210
60	232
61	217
62	245
63	223
64	195
65	148
66	121
67	111
68	71
69	69
70	56
71	42
72	38
73	34
74	19
75	20
76	4
77	9
78	9
79	3
80	1
81	2
82	2
83	2
84	0
85	1
86	0
87	1
88	2
89	3
90	3
91	5
92	4
93	2
94	5
95	10
96	3
97	5
98	3
99	9
100	8
101	8
102	4
103	4
104	8
105	4
106	6
107	11
108	4
109	4
110	6
111	8
112	4
113	9
114	4
115	6
116	7
117	8
118	9
119	9
120	8
121	10
122	12
123	17
124	27
125	49
126	54
127	78
128	63
129	59
130	49
131	44
132	49
133	30
134	27
135	30
136	23
137	18
138	18
139	13
140	18
141	9
142	8
143	17
144	15
145	14
146	5
147	7
148	4
149	11
150	8
151	8
152	3
153	6
154	4
155	6
156	5
157	6
158	9
159	5
160	2
161	0
162	4
163	3
164	6
165	1
166	3
167	4
168	9
169	3
170	3
171	4
172	5
173	10
174	5
175	2
176	8
177	5
178	10
179	5
180	6
181	5
182	6
183	5
184	4
185	3
186	4
187	4
188	6
189	5
190	6
191	3
192	1
193	5
194	3
195	2
196	4
197	3
198	1
199	4
200	1
201	1
202	4
203	2
204	3
205	2
206	1
207	4
208	5
209	1
210	2
211	1
212	0
213	4
214	4
215	6
216	4
217	2
218	3
219	4
220	0
221	3
222	0
223	0
224	2
225	7
226	7
227	1
228	1
229	1
230	3
231	3
232	1
233	5
234	1
235	3
236	1
237	4
238	5
239	3
240	1
241	3
242	5
243	1
244	4
245	3
246	5
247	4
248	0
249	1
250	0
251	3
252	0
253	1
254	2
255	2
256	1
257	3
258	3
259	0
260	3
261	2
262	1
263	4
264	2
265	1
266	2
267	2
268	4
269	1
270	1
271	1
272	3
273	1
274	2
275	3
276	2
277	0
278	1
279	2
280	1
281	1
282	1
283	2
284	5
285	1
286	1
287	3
288	0
289	1
290	1
291	2
292	0
293	1
294	1
295	1
296	2
297	3
298	1
299	1
300	2
301	0
302	2
303	2
304	0
305	3
306	0
307	0
308	2
309	1
310	2
311	0
312	1
313	1
314	1
315	0
316	2
317	1
318	1
319	0
320	0
321	0
322	1
323	1
324	0
325	0
326	1
327	1
328	1
329	1
330	0
331	0
332	0
333	1
334	2
335	1
336	2
337	1
338	1
339	1
340	1
341	0
342	1
343	2
344	1
345	0
346	3
347	0
348	2
349	1
350	3
351	1
352	0
353	1
354	3
355	1
356	2
357	4
358	1
359	1
360	3
361	1
362	2
363	1
364	4
365	9
366	18
367	15
368	25
369	36
370	37
371	54
372	37
373	52
374	27
375	26
376	27
377	24
378	15
379	5
380	10
381	1
382	0
383	2
384	1
385	0
386	1
387	0
388	1
389	0
390	1
391	0
392	1
393	0
394	3
395	2
396	1
397	0
398	0
399	1
400	0
401	0
402	1
403	0
404	2
405	0
406	2
407	1
408	0
409	0
410	1
411	3
412	4
413	4
414	6
415	6
416	6
417	8
418	4
419	3
420	6
421	2
422	4
423	1
424	3
425	0
426	1
427	2
428	0
429	2
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	1
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	1
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	1
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
