A_len/mus    Ampl/V   In-Phase/V
0.500000   2.787500   0.018750
1.000000   2.100000   0.018750
1.500000   2.412500   0.018750
2.000000   3.037500   0.081250
2.500000   1.225000   0.050000
3.000000   3.350000   0.050000
3.500000   1.037500   0.018750
4.000000   3.162500   0.018750
4.500000   2.350000   0.050000
5.000000   2.100000   0.050000
5.500000   3.225000   0.050000
6.000000   0.912500   0.050000
6.500000   3.475000   0.018750
7.000000   1.725000   0.018750
7.500000   2.850000   0.050000
8.000000   2.912500   0.018750
8.500000   1.912500   0.050000
9.000000   3.475000   0.018750
9.500000   0.850000   0.018750
10.000000   3.100000   0.081250
10.500000   2.225000   0.050000
11.000000   2.475000   0.018750
11.500000   2.975000   0.018750
12.000000   0.975000   0.018750
