beta	I
-0.984	7.2
-0.987	7.2
-0.989	7.2
-0.992	7.2
-0.995	7.2
-0.997	7.2
-1	7.2
-1.003	7.2
-1.005	7.2
-1.008	7.2
-1.011	7.2
-1.013	7.2
-1.016	7.2
-1.019	7.2
-1.021	7.2
-1.024	7.2
-1.027	7.2
-1.029	7.2
-1.032	7.2
-1.035	7.2
-1.037	7.2
-1.04	7.2
-1.043	7.2
-1.045	7.2
-1.048	7.2
-1.051	7.2
-1.053	7.2
-1.056	7.2
-1.059	7.2
-1.061	7.2
-1.064	7.2
-1.067	7.2
-1.069	7.2
-1.072	7.2
-1.075	7.2
-1.077	7.2
-1.08	7.2
-1.083	7.4
-1.085	7.5
-1.088	7.6
-1.091	7.8
-1.093	8
-1.096	8.2
-1.099	8.6
-1.101	8.9
-1.104	9.3
-1.107	9.8
-1.109	10.4
-1.112	11
-1.115	11.7
-1.118	12.4
-1.12	13.4
-1.123	14.5
-1.126	15.9
-1.128	17.3
-1.131	18.9
-1.134	20.6
-1.136	22.3
-1.139	24.1
-1.142	25.9
-1.144	27.7
-1.147	29.4
-1.15	30.9
-1.152	32.2
-1.155	33.1
-1.158	33.5
-1.16	33.4
-1.163	33.1
-1.166	32.4
-1.168	31.5
-1.171	30.4
-1.174	29.2
-1.176	28
-1.179	26.8
-1.182	25.5
-1.184	23.9
-1.187	22.2
-1.19	20.4
-1.192	18.6
-1.195	16.8
-1.198	15.2
-1.2	13.6
-1.203	12.3
-1.206	11.3
-1.208	10.5
-1.211	9.9
-1.214	9.4
-1.216	9.2
-1.219	8.9
-1.222	8.7
-1.224	8.6
-1.227	8.5
-1.23	8.4
-1.232	8.4
-1.235	8.3
-1.238	8.4
-1.24	8.4
-1.243	8.4
-1.246	8.4
-1.248	8.5
-1.251	8.5
-1.254	8.5
-1.256	8.5
-1.259	8.5
-1.262	8.5
-1.265	8.5
-1.267	8.4
-1.27	8.4
-1.273	8.3
-1.275	8.3
-1.278	8
-1.281	7.9
-1.283	7.9
-1.286	7.8
-1.289	7.7
-1.291	7.6
-1.294	7.5
-1.297	7.5
-1.299	7.4
-1.302	7.4
-1.305	7.2
-1.307	7.1
-1.31	7.1
-1.313	7
-1.315	6.9
-1.318	6.9
-1.321	6.9
-1.323	6.9
-1.326	6.8
-1.329	6.8
-1.331	6.8
-1.334	6.8
-1.337	6.8
-1.339	6.8
-1.342	6.8
-1.345	6.7
-1.347	6.7
-1.35	6.7
-1.353	6.7
-1.355	6.7
-1.358	6.7
-1.361	6.6
-1.363	6.6
-1.366	6.6
-1.369	6.6
-1.371	6.6
-1.374	6.6
-1.377	6.5
-1.379	6.5
-1.382	6.5
-1.385	6.5
-1.387	6.5
-1.39	6.5
-1.393	6.5
-1.395	6.5
-1.398	6.5
-1.401	6.5
-1.403	6.5
-1.406	6.4
-1.409	6.4
-1.411	6.4
-1.414	6.4
-1.417	6.4
-1.419	6.4
-1.422	6.4
-1.425	6.4
-1.428	6.4
-1.43	6.4
-1.433	6.5
-1.436	6.4
-1.438	6.4
-1.441	6.4
